#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0  8192    8    886.0  652.6   656   624  2000   656   864      738.3   543.8     546     520    1666     546       720            2   16777216
  LAT_CMD_RD Rand   HWarm  0  0  8192    8    882.0  648.0   640   624  1920   656   848      735.0   540.0     533     520    1600     546       706            0   16777216
  LAT_CMD_RD Rand    Cold  0  0 67108864    8   1035.0  645.9   656   464  1920   672   864      862.5   538.3     546     386    1600     560       720            0   16777216
  LAT_CMD_RD Rand   HWarm  0  0 67108864    8   1045.0  653.4   656   624  1952   656   848      870.8   544.5     546     520    1626     546       706            0   16777216


LAT_CMD_WRRD Rand    Cold  0  0  8192    8    908.0  649.1   656   624  1968   656   672      756.7   540.9     546     520    1640     546       560            0   16777216
LAT_CMD_WRRD Rand   HWarm  0  0  8192    8    908.0  649.1   656   624  1968   656   672      756.7   540.9     546     520    1640     546       560            0   16777216
LAT_CMD_WRRD Rand    Cold  0  0 67108864    8   1222.0  806.2   800   624  1968   816  1008     1018.3   671.9     666     520    1640     680       840            0   16777216
LAT_CMD_WRRD Rand   HWarm  0  0 67108864    8   1222.0  806.3   800   624  2224   816  1008     1018.3   671.9     666     520    1853     680       840            0   16777216
