        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0   1KB   64    897.0  664.8   656   640  2032   672   864      747.5   554.0     546     533    1693     560       720            2    2097152
  LAT_CMD_RD Rand    Cold  0  0   4KB   64    897.0  664.9   656   640  2032   672   864      747.5   554.1     546     533    1693     560       720            2    2097152
  LAT_CMD_RD Rand    Cold  0  0  16KB   64    897.0  664.9   656   640  2112   672   864      747.5   554.1     546     533    1760     560       720            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 256KB   64    897.0  664.9   656   640  2112   672   864      747.5   554.1     546     533    1760     560       720            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 512KB   64    897.0  664.9   656   640  2032   672   864      747.5   554.1     546     533    1693     560       720            1    2097152
  LAT_CMD_RD Rand    Cold  0  0   1MB   64    897.0  664.9   656   640  2032   672   864      747.5   554.1     546     533    1693     560       720            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 1.5MB   64    897.0  664.9   656   640  2032   672   864      747.5   554.1     546     533    1693     560       720            2    2097152
  LAT_CMD_RD Rand    Cold  0  0   2MB   64    897.0  664.8   656   640  2016   672   864      747.5   554.0     546     533    1680     560       720            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   3MB   64    896.0  664.9   656   640  2176   672   864      746.7   554.0     546     533    1813     560       720            2    2097152
  LAT_CMD_RD Rand    Cold  0  0   4MB   64    897.0  664.9   656   640  2064   672   864      747.5   554.1     546     533    1720     560       720            2    2097152
  LAT_CMD_RD Rand    Cold  0  0   8MB   64    977.0  665.0   656   640  2032   672   864      814.2   554.2     546     533    1693     560       720            2    2097152
  LAT_CMD_RD Rand    Cold  0  0  16MB   64   1017.0  664.9   656   640  2048   672   864      847.5   554.1     546     533    1706     560       720            2    2097152
  LAT_CMD_RD Rand    Cold  0  0  32MB   64   1037.0  665.1   656   640  2032   672   864      864.2   554.3     546     533    1693     560       720            2    2097152
  LAT_CMD_RD Rand    Cold  0  0  64MB   64   1047.0  665.0   656   640  2048   672   864      872.5   554.2     546     533    1706     560       720            2    2097152

  LAT_CMD_RD Rand DThrash  0  0   1KB   64    899.0  668.1   672   640  2032   672   864      749.2   556.7     560     533    1693     560       720            1    2097152
  LAT_CMD_RD Rand DThrash  0  0   4KB   64    897.0  665.9   672   480  2048   672   864      747.5   555.0     560     400    1706     560       720            1    2097152
