        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0   8KB   64    915.0  683.3   656   640  2192   816   976      762.5   569.4     546     533    1826     680       813            0    2097152
  LAT_DMA_RD Rand    Cold  0  0  64KB   64   1030.0  799.3   816   640  2192   816  1008      858.3   666.1     680     533    1826     680       840            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 256KB   64   1043.0  811.4   816   640  2192   816  1008      869.2   676.2     680     533    1826     680       840            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 512KB   64   1044.0  813.5   816   640  2192   816  1008      870.0   677.9     680     533    1826     680       840            0    2097152
  LAT_DMA_RD Rand    Cold  0  0   1MB   64   1046.0  814.5   816   640  2192   816  1008      871.7   678.7     680     533    1826     680       840            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 1.5MB   64   1046.0  814.7   816   640  2016   816  1008      871.7   678.9     680     533    1680     680       840            0    2097152
  LAT_DMA_RD Rand    Cold  0  0   2MB   64   1047.0  815.2   816   640  2192   816  1008      872.5   679.3     680     533    1826     680       840            0    2097152
  LAT_DMA_RD Rand    Cold  0  0   4MB   64   1047.0  815.2   816   640  2256   816  1008      872.5   679.3     680     533    1880     680       840            0    2097152
  LAT_DMA_RD Rand    Cold  0  0   8MB   64   1046.0  815.4   816   640  2176   816  1008      871.7   679.5     680     533    1813     680       840            0    2097152
  LAT_DMA_RD Rand    Cold  0  0  16MB   64   1047.0  815.4   816   640  2176   816  1008      872.5   679.5     680     533    1813     680       840            0    2097152
  LAT_DMA_RD Rand    Cold  0  0  32MB   64   1046.0  815.4   816   640  2176   816  1008      871.7   679.5     680     533    1813     680       840            0    2097152
  LAT_DMA_RD Rand    Cold  0  0  64MB   64   1043.0  811.9   816   640  2240   816  1008      869.2   676.6     680     533    1866     680       840            0    2097152

  LAT_DMA_RD Rand DThrash  0  0   8KB   64   1044.0  812.5   816   640  2368   816  1008      870.0   677.1     680     533    1973     680       840            0    2097152
  LAT_DMA_RD Rand DThrash  0  0  64KB   64   1043.0  811.8   816   640  2288   816  1008      869.2   676.5     680     533    1906     680       840            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 256KB   64   1043.0  811.8   816   640  2176   816  1008      869.2   676.5     680     533    1813     680       840            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 512KB   64   1043.0  812.2   816   640  2176   816  1008      869.2   676.8     680     533    1813     680       840            0    2097152
  LAT_DMA_RD Rand DThrash  0  0   1MB   64   1043.0  811.7   816   640  2192   816  1008      869.2   676.4     680     533    1826     680       840            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 1.5MB   64   1043.0  811.6   816   640  2176   816  1008      869.2   676.4     680     533    1813     680       840            0    2097152
  LAT_DMA_RD Rand DThrash  0  0   2MB   64   1043.0  811.6   816   640  2208   816  1008      869.2   676.3     680     533    1840     680       840            0    2097152
  LAT_DMA_RD Rand DThrash  0  0   4MB   64   1043.0  811.5   816   640  2176   816  1008      869.2   676.3     680     533    1813     680       840            0    2097152
  LAT_DMA_RD Rand DThrash  0  0   8MB   64   1043.0  811.7   816   640  1168   816  1008      869.2   676.4     680     533     973     680       840            0    2097152
  LAT_DMA_RD Rand DThrash  0  0  16MB   64   1043.0  811.7   816   640  2176   816  1008      869.2   676.4     680     533    1813     680       840            0    2097152
  LAT_DMA_RD Rand DThrash  0  0  32MB   64   1043.0  811.7   816   640  2176   816  1008      869.2   676.4     680     533    1813     680       840            0    2097152
