Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Seq,HWarm,0,0,8192,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
BW_DMA_WR,Seq,HWarm,1,0,8192,64,212411392,177009493.33333334,536870912,8388608,24.264050560904,47390723.75176562
BW_DMA_WR,Seq,HWarm,2,0,8192,64,212411296,177009413.33333334,536870912,8388608,24.264061527123303,47390745.1701627
BW_DMA_WR,Seq,HWarm,3,0,8192,64,212411200,177009333.33333334,536870912,8388608,24.264072493352515,47390766.588579126
BW_DMA_WR,Seq,HWarm,4,0,8192,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Seq,HWarm,6,0,8192,64,212411232,177009360.0,536870912,8388608,24.26406883794168,47390759.44910484
BW_DMA_WR,Seq,HWarm,8,0,8192,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Seq,HWarm,12,0,8192,64,212372208,176976840.0,536870912,8388608,24.26852742991682,47399467.63655629
BW_DMA_WR,Seq,HWarm,16,0,8192,64,212372272,176976893.33333334,536870912,8388608,24.26852011641143,47399453.352366075
BW_DMA_WR,Seq,HWarm,20,0,8192,64,212372192,176976826.66666666,536870912,8388608,24.268529258293857,47399471.20760518
BW_DMA_WR,Seq,HWarm,25,0,8192,64,212411152,177009293.33333334,536870912,8388608,24.264077976470837,47390777.2977946
BW_DMA_WR,Seq,HWarm,32,0,8192,64,212372320,176976933.33333334,536870912,8388608,24.26851463128528,47399442.63922907
BW_DMA_WR,Seq,HWarm,41,0,8192,64,212411328,177009440.0,536870912,8388608,24.264057871715767,47390738.030694865
BW_DMA_WR,Seq,HWarm,48,0,8192,64,212372224,176976853.33333334,536870912,8388608,24.268525601540055,47399464.06550792
BW_DMA_WR,Seq,HWarm,63,0,8192,64,212411136,177009280.0,536870912,8388608,24.2640798041775,47390780.867534176
BW_DMA_WR,Seq,HWarm,0,0,8192,64,212372336,176976946.66666666,536870912,8388608,24.26851280291045,47399439.06818447
BW_DMA_WR,Seq,HWarm,0,1,8192,64,212734912,177279093.33333334,536870912,8388608,24.227150620204736,47318653.55508737
BW_DMA_WR,Seq,HWarm,0,2,8192,64,212735232,177279360.0,536870912,8388608,24.2271141773075,47318582.37755371
BW_DMA_WR,Seq,HWarm,0,3,8192,64,212734624,177278853.33333334,536870912,8388608,24.227183418905987,47318717.615050755
BW_DMA_WR,Seq,HWarm,0,4,8192,64,212735152,177279293.33333334,536870912,8388608,24.227123288021527,47318600.17191705
BW_DMA_WR,Seq,HWarm,0,6,8192,64,212735120,177279266.66666666,536870912,8388608,24.227126932309062,47318607.28966614
BW_DMA_WR,Seq,HWarm,0,8,8192,64,212372224,176976853.33333334,536870912,8388608,24.268525601540055,47399464.06550792
BW_DMA_WR,Seq,HWarm,0,12,8192,64,212732848,177277373.33333334,536870912,8388608,24.227385679526087,47319112.655324385
BW_DMA_WR,Seq,HWarm,0,16,8192,64,212372336,176976946.66666666,536870912,8388608,24.26851280291045,47399439.06818447
BW_DMA_WR,Seq,HWarm,0,20,8192,64,212735056,177279213.33333334,536870912,8388608,24.22713422088741,47318621.52517072
BW_DMA_WR,Seq,HWarm,0,25,8192,64,212735296,177279413.33333334,536870912,8388608,24.227106888741208,47318568.14207267
BW_DMA_WR,Seq,HWarm,0,32,8192,64,212372176,176976813.33333334,536870912,8388608,24.268531086671164,47399474.77865462
BW_DMA_WR,Seq,HWarm,0,41,8192,64,212735392,177279493.33333334,536870912,8388608,24.227095955899994,47318546.788867176
BW_DMA_WR,Seq,HWarm,0,48,8192,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Seq,HWarm,0,63,8192,64,212734816,177279013.33333334,536870912,8388608,24.227161553095286,47318674.908389226
BW_DMA_WR,Seq,HWarm,0,0,8192,128,243083568,202569640.0,1073741824,8388608,42.404847004714036,41410983.40304105
BW_DMA_WR,Seq,HWarm,1,0,8192,128,279002944,232502453.33333334,1073741824,8388608,36.94556538586202,36079653.69713088
BW_DMA_WR,Seq,HWarm,2,0,8192,128,279000944,232500786.66666666,1073741824,8388608,36.94583022772855,36079912.331766166
BW_DMA_WR,Seq,HWarm,3,0,8192,128,279002976,232502480.0,1073741824,8388608,36.94556114842302,36079649.559006855
BW_DMA_WR,Seq,HWarm,4,0,8192,128,262846704,219038920.0,1073741824,8388608,39.21647619518942,38297340.03436467
BW_DMA_WR,Seq,HWarm,6,0,8192,128,279001040,232500866.66666666,1073741824,8388608,36.9458175152322,36079899.917218946
