#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD  Seq    Cold  0  0  4096    8    899.0  642.2   640   624   848   656   672      749.2   535.1     533     520     706     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0  4096    8    899.0  642.1   640   624   752   656   672      749.2   535.0     533     520     626     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0  4096    8    898.0  642.2   640   624   784   656   672      748.3   535.1     533     520     653     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0  4096    8    898.0  642.2   640   624   752   656   672      748.3   535.1     533     520     626     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0  4096    8    899.0  642.1   640   624   752   656   672      749.2   535.1     533     520     626     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0  4096    8    898.0  642.1   640   624   736   656   672      748.3   535.1     533     520     613     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  8  0  4096    8    899.0  642.1   640   624   784   656   672      749.2   535.1     533     520     653     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0  4096    8    899.0  642.2   640   624   736   656   672      749.2   535.1     533     520     613     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0  4096    8    901.0  644.6   640   624   832   656   672      750.8   537.2     533     520     693     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0  4096    8    900.0  644.7   640   624   752   656   672      750.0   537.3     533     520     626     546       560            0    2097152


LAT_CMD_WRRD  Seq   HWarm  0  0  4096    8    898.0  642.1   640   624   720   656   672      748.3   535.1     533     520     600     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0  4096    8    898.0  642.1   640   624   800   656   672      748.3   535.1     533     520     666     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0  4096    8    898.0  642.2   640   624   752   656   672      748.3   535.1     533     520     626     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0  4096    8    898.0  642.2   640   624   752   656   672      748.3   535.2     533     520     626     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0  4096    8    898.0  642.1   640   624   752   656   672      748.3   535.1     533     520     626     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0  4096    8    899.0  642.1   640   624   784   656   672      749.2   535.1     533     520     653     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0  4096    8    898.0  642.1   640   624   784   656   672      748.3   535.0     533     520     653     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0  4096    8    899.0  642.1   640   624   736   656   672      749.2   535.1     533     520     613     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0  4096    8    901.0  644.6   640   624   736   656   672      750.8   537.2     533     520     613     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0  4096    8    901.0  644.7   640   624   752   656   672      750.8   537.3     533     520     626     546       560            0    2097152


LAT_CMD_WRRD  Seq    Cold  0  0 8388608    8    991.0  734.5   736   624  1152   736   944      825.8   612.1     613     520     960     613       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0 8388608    8    991.0  734.6   736   640  1104   752   944      825.8   612.2     613     533     920     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0 8388608    8    991.0  734.6   736   640  1104   736   944      825.8   612.1     613     533     920     613       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0 8388608    8    990.0  734.7   736   640  1104   752   944      825.0   612.2     613     533     920     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0 8388608    8    991.0  734.7   736   640  1104   752   944      825.8   612.2     613     533     920     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0 8388608    8    991.0  734.6   736   640  1104   736   944      825.8   612.1     613     533     920     613       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  8  0 8388608    8    991.0  734.5   736   656  1104   736   944      825.8   612.1     613     546     920     613       786            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0 8388608    8    991.0  734.6   736   640  1088   736   944      825.8   612.2     613     533     906     613       786            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0 8388608    8    993.0  737.1   736   640  1104   752   944      827.5   614.2     613     533     920     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0 8388608    8    993.0  737.0   736   640  1104   752   944      827.5   614.2     613     533     920     626       786            0    2097152


LAT_CMD_WRRD  Seq   HWarm  0  0 8388608    8    991.0  734.6   736   656  1104   736   944      825.8   612.1     613     546     920     613       786            0    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0 8388608    8    991.0  734.6   736   640  1104   736   944      825.8   612.1     613     533     920     613       786            0    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0 8388608    8    991.0  734.6   736   640  1104   736   944      825.8   612.2     613     533     920     613       786            0    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0 8388608    8    991.0  734.7   736   640  1088   752   944      825.8   612.2     613     533     906     626       786            0    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0 8388608    8    991.0  734.6   736   640  1088   752   944      825.8   612.2     613     533     906     626       786            0    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0 8388608    8    991.0  734.7   736   640  1088   752   944      825.8   612.2     613     533     906     626       786            0    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0 8388608    8    991.0  734.6   736   640  1104   752   944      825.8   612.2     613     533     920     626       786            0    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0 8388608    8    991.0  734.6   736   640  1088   736   944      825.8   612.1     613     533     906     613       786            0    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0 8388608    8    992.0  737.0   736   640  1088   752   944      826.7   614.2     613     533     906     626       786            0    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0 8388608    8    992.0  737.0   736   640  1088   752   944      826.7   614.2     613     533     906     626       786            0    2097152


LAT_CMD_WRRD  Seq    Cold  0  0  4096   64    990.0  664.3   672   640   880   672   688      825.0   553.6     560     533     733     560       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0  4096   64    991.0  664.4   672   640   848   672   688      825.8   553.7     560     533     706     560       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0  4096   64    991.0  664.4   672   640   848   672   688      825.8   553.7     560     533     706     560       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0  4096   64    991.0  664.4   672   640   752   672   688      825.8   553.7     560     533     626     560       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0  4096   64   1020.0  693.7   688   672   800   704   720      850.0   578.1     573     560     666     586       600            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0  4096   64   1020.0  693.8   688   672   880   704   720      850.0   578.1     573     560     733     586       600            0    2097152
