Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_WRRD,Rand,Cold,0,0,1024,64,990,664.1499404907227,672.0,640,784,672.0,688.0,825.0,553.4582837422689,560.0,533.3333333333334,653.3333333333334,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,4096,64,991,664.4928131103516,672.0,640,832,672.0,688.0,825.8333333333334,553.744010925293,560.0,533.3333333333334,693.3333333333334,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,16384,64,991,664.5493850708008,672.0,640,800,672.0,688.0,825.8333333333334,553.7911542256674,560.0,533.3333333333334,666.6666666666666,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,262144,64,990,664.7282257080078,672.0,640,896,672.0,768.0,825.0,553.9401880900065,560.0,533.3333333333334,746.6666666666666,560.0,640.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,524288,64,991,664.7934951782227,672.0,640,880,672.0,768.0,825.8333333333334,553.9945793151855,560.0,533.3333333333334,733.3333333333334,560.0,640.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,1048576,64,991,664.9486846923828,672.0,640,896,672.0,784.0,825.8333333333334,554.123903910319,560.0,533.3333333333334,746.6666666666666,560.0,653.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,1572864.0,64,1003,677.0608367919922,672.0,640,896,768.0,784.0,835.8333333333334,564.2173639933268,560.0,533.3333333333334,746.6666666666666,640.0,653.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,2097152,64,1018,691.5002899169922,672.0,640,896,784.0,816.0,848.3333333333334,576.2502415974935,560.0,533.3333333333334,746.6666666666666,653.3333333333334,680.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,3145728,64,1045,718.3158340454102,752.0,640,992,784.0,848.0,870.8333333333334,598.5965283711752,626.6666666666666,533.3333333333334,826.6666666666666,653.3333333333334,706.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,4194304,64,1058,731.7121276855469,768.0,640,912,784.0,864.0,881.6666666666666,609.7601064046224,640.0,533.3333333333334,760.0,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,8388608,64,1159,751.9379501342773,768.0,640,976,784.0,864.0,965.8333333333334,626.6149584452311,640.0,533.3333333333334,813.3333333333334,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,16777216,64,1209,761.873161315918,768.0,640,992,784.0,864.0,1007.5,634.8943010965983,640.0,533.3333333333334,826.6666666666666,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,33554432,64,1234,766.91357421875,768.0,640,992,784.0,864.0,1028.3333333333333,639.0946451822916,640.0,533.3333333333334,826.6666666666666,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,67108864,64,1247,769.7382125854492,768.0,640,992,784.0,864.0,1039.1666666666667,641.4485104878744,640.0,533.3333333333334,826.6666666666666,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,1024,64,990,664.1797180175781,672.0,640,784,672.0,688.0,825.0,553.4830983479818,560.0,533.3333333333334,653.3333333333334,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,4096,64,990,664.5241394042969,672.0,640,800,672.0,688.0,825.0,553.7701161702474,560.0,533.3333333333334,666.6666666666666,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,16384,64,990,664.568359375,672.0,640,800,672.0,688.0,825.0,553.8069661458334,560.0,533.3333333333334,666.6666666666666,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,262144,64,991,664.7385940551758,672.0,640,880,672.0,768.0,825.8333333333334,553.9488283793131,560.0,533.3333333333334,733.3333333333334,560.0,640.0,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,524288,64,991,664.9979782104492,672.0,640,880,672.0,784.0,825.8333333333334,554.164981842041,560.0,533.3333333333334,733.3333333333334,560.0,653.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,1048576,64,991,665.3721237182617,672.0,640,896,672.0,784.0,825.8333333333334,554.4767697652181,560.0,533.3333333333334,746.6666666666666,560.0,653.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,1572864.0,64,1004,677.8184204101562,672.0,640,976,768.0,784.0,836.6666666666666,564.8486836751302,560.0,533.3333333333334,813.3333333333334,640.0,653.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,2097152,64,1018,692.275032043457,672.0,640,960,784.0,816.0,848.3333333333334,576.8958600362142,560.0,533.3333333333334,800.0,653.3333333333334,680.0,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,3145728,64,1046,718.7823638916016,752.0,640,960,784.0,848.0,871.6666666666666,598.9853032430013,626.6666666666666,533.3333333333334,800.0,653.3333333333334,706.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,4194304,64,1059,732.1496200561523,768.0,640,976,784.0,864.0,882.5,610.124683380127,640.0,533.3333333333334,813.3333333333334,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,8388608,64,1159,752.0692291259766,768.0,640,976,784.0,864.0,965.8333333333334,626.7243576049805,640.0,533.3333333333334,813.3333333333334,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,16777216,64,1209,761.9631500244141,768.0,640,1072,784.0,864.0,1007.5,634.9692916870117,640.0,533.3333333333334,893.3333333333334,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,33554432,64,1235,766.9913024902344,768.0,640,992,784.0,864.0,1029.1666666666667,639.1594187418619,640.0,533.3333333333334,826.6666666666666,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,DThrash,0,0,67108864,64,1247,769.4622497558594,768.0,640,976,784.0,864.0,1039.1666666666667,641.2185414632162,640.0,533.3333333333334,813.3333333333334,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,1024,64,990,664.2060089111328,672.0,640,832,672.0,688.0,825.0,553.505007425944,560.0,533.3333333333334,693.3333333333334,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,4096,64,990,664.4924850463867,672.0,640,768,672.0,688.0,825.0,553.7437375386556,560.0,533.3333333333334,640.0,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,16384,64,990,664.561149597168,672.0,640,832,672.0,688.0,825.0,553.80095799764,560.0,533.3333333333334,693.3333333333334,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,262144,64,990,664.5286712646484,672.0,640,752,672.0,688.0,825.0,553.7738927205404,560.0,533.3333333333334,626.6666666666666,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,524288,64,990,664.5287857055664,672.0,640,768,672.0,688.0,825.0,553.773988087972,560.0,533.3333333333334,640.0,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,1048576,64,990,664.5227508544922,672.0,640,768,672.0,688.0,825.0,553.7689590454102,560.0,533.3333333333334,640.0,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,1572864.0,64,1002,676.8532257080078,672.0,640,896,768.0,784.0,835.0,564.0443547566732,560.0,533.3333333333334,746.6666666666666,640.0,653.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,2097152,64,1018,691.4745941162109,672.0,640,960,784.0,816.0,848.3333333333334,576.2288284301758,560.0,533.3333333333334,800.0,653.3333333333334,680.0,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,3145728,64,1045,718.3335571289062,752.0,640,992,784.0,848.0,870.8333333333334,598.6112976074219,626.6666666666666,533.3333333333334,826.6666666666666,653.3333333333334,706.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,4194304,64,1058,731.6768646240234,768.0,640,944,784.0,848.0,881.6666666666666,609.7307205200195,640.0,533.3333333333334,786.6666666666666,653.3333333333334,706.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,8388608,64,1159,751.886962890625,768.0,640,976,784.0,864.0,965.8333333333334,626.5724690755209,640.0,533.3333333333334,813.3333333333334,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,16777216,64,1208,762.1077117919922,768.0,640,992,784.0,864.0,1006.6666666666666,635.0897598266602,640.0,533.3333333333334,826.6666666666666,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,33554432,64,1234,766.9147262573242,768.0,640,976,784.0,864.0,1028.3333333333333,639.0956052144369,640.0,533.3333333333334,813.3333333333334,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,DWarm,0,0,67108864,64,1246,769.7257385253906,768.0,640,976,784.0,864.0,1038.3333333333333,641.4381154378256,640.0,533.3333333333334,813.3333333333334,653.3333333333334,720.0,0,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,1024,64,989,664.1685791015625,672.0,640,784,672.0,688.0,824.1666666666666,553.4738159179688,560.0,533.3333333333334,653.3333333333334,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,4096,64,990,664.4917678833008,672.0,640,848,672.0,688.0,825.0,553.7431399027506,560.0,533.3333333333334,706.6666666666666,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,16384,64,990,664.5683670043945,672.0,640,864,672.0,688.0,825.0,553.8069725036621,560.0,533.3333333333334,720.0,560.0,573.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,262144,64,990,664.7587814331055,672.0,640,880,672.0,768.0,825.0,553.9656511942545,560.0,533.3333333333334,733.3333333333334,560.0,640.0,0,2097152
LAT_CMD_WRRD,Rand,HWarm,0,0,524288,64,990,664.7402648925781,672.0,640,880,672.0,768.0,825.0,553.9502207438151,560.0,533.3333333333334,733.3333333333334,560.0,640.0,0,2097152
