Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Rand,Cold,0,0,8192,64,1051,817.4287395477295,816.0,784,1200,832.0,1008.0,875.8333333333334,681.1906162897745,680.0,653.3333333333334,1000.0,693.3333333333334,840.0,0,16777216
LAT_DMA_RD,Rand,HWarm,0,0,8192,64,1047,813.3459396362305,816.0,784,1200,832.0,992.0,872.5,677.788283030192,680.0,653.3333333333334,1000.0,693.3333333333334,826.6666666666666,0,16777216
LAT_DMA_RD,Rand,Cold,0,0,67108864,64,1052,818.137110710144,816.0,784,1248,832.0,1008.0,876.6666666666666,681.7809255917867,680.0,653.3333333333334,1040.0,693.3333333333334,840.0,0,16777216
LAT_DMA_RD,Rand,HWarm,0,0,67108864,64,1051,817.1085357666016,816.0,784,1232,832.0,1008.0,875.8333333333334,680.9237798055013,680.0,653.3333333333334,1026.6666666666667,693.3333333333334,840.0,0,16777216
LAT_DMA_RD,Rand,Cold,0,0,8192,2048,1751,1516.7044200897217,1504.0,1488,1984,1584.0,1776.0,1459.1666666666667,1263.920350074768,1253.3333333333333,1240.0,1653.3333333333333,1320.0,1480.0,0,16777216
LAT_DMA_RD,Rand,HWarm,0,0,8192,2048,1751,1516.2046508789062,1504.0,1472,1936,1584.0,1776.0,1459.1666666666667,1263.5038757324219,1253.3333333333333,1226.6666666666667,1613.3333333333333,1320.0,1480.0,0,16777216
LAT_DMA_RD,Rand,Cold,0,0,67108864,2048,1751,1516.944372177124,1504.0,1488,1968,1584.0,1776.0,1459.1666666666667,1264.1203101476033,1253.3333333333333,1240.0,1640.0,1320.0,1480.0,0,16777216
LAT_DMA_RD,Rand,HWarm,0,0,67108864,2048,1752,1517.0900268554688,1504.0,1472,1968,1584.0,1776.0,1460.0,1264.2416890462239,1253.3333333333333,1226.6666666666667,1640.0,1320.0,1480.0,0,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,8192,64,1184,951.2646608352661,944.0,928,1152,960.0,976.0,986.6666666666666,792.720550696055,786.6666666666666,773.3333333333334,960.0,800.0,813.3333333333334,0,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,8192,64,1184,951.5199775695801,944.0,928,1120,960.0,976.0,986.6666666666666,792.9333146413168,786.6666666666666,773.3333333333334,933.3333333333334,800.0,813.3333333333334,0,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,67108864,64,1282,1049.185733795166,1056.0,928,1600,1072.0,1152.0,1068.3333333333333,874.321444829305,880.0,773.3333333333334,1333.3333333333333,893.3333333333334,960.0,0,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,67108864,64,1282,1049.6599531173706,1056.0,928,1632,1072.0,1152.0,1068.3333333333333,874.7166275978088,880.0,773.3333333333334,1360.0,893.3333333333334,960.0,0,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,8192,2048,2465,2233.0763597488403,2224.0,2208,2496,2256.0,2288.0,2054.1666666666665,1860.896966457367,1853.3333333333333,1840.0,2080.0,1880.0,1906.6666666666667,0,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,8192,2048,2465,2232.876567840576,2224.0,2208,2480,2256.0,2288.0,2054.1666666666665,1860.7304732004802,1853.3333333333333,1840.0,2066.6666666666665,1880.0,1906.6666666666667,0,16777216
LAT_DMA_WRRD,Rand,Cold,0,0,67108864,2048,2574,2341.209578514099,2336.0,2208,2624,2368.0,2448.0,2145.0,1951.0079820950825,1946.6666666666667,1840.0,2186.6666666666665,1973.3333333333333,2040.0,0,16777216
LAT_DMA_WRRD,Rand,HWarm,0,0,67108864,2048,2574,2340.7680740356445,2336.0,2208,2608,2368.0,2448.0,2145.0,1950.6400616963704,1946.6666666666667,1840.0,2173.3333333333335,1973.3333333333333,2040.0,0,16777216
