        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   64   1168.0  936.8   944   912  1200   944   960      973.3   780.6     786     760    1000     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  1  0   8KB   64   1185.0  956.1   960   928  1216   960   992      987.5   796.8     800     773    1013     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  2  0   8KB   64   1185.0  956.1   960   928  1056   960   992      987.5   796.8     800     773     880     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  3  0   8KB   64   1185.0  956.3   960   944  1120   960   992      987.5   796.9     800     786     933     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  4  0   8KB   64   1184.0  953.9   960   928  1168   960   976      986.7   794.9     800     773     973     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm  6  0   8KB   64   1186.0  956.1   960   928  1168   960   992      988.3   796.8     800     773     973     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  8  0   8KB   64   1181.0  951.3   944   928  1088   960   976      984.2   792.8     786     773     906     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 12  0   8KB   64   1181.0  951.3   944   928  1200   960   976      984.2   792.8     786     773    1000     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 16  0   8KB   64   1179.0  950.3   944   928  1216   960   976      982.5   791.9     786     773    1013     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 20  0   8KB   64   1181.0  951.3   944   928  1104   960   976      984.2   792.8     786     773     920     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 25  0   8KB   64   1181.0  951.4   944   928  1168   960   976      984.2   792.8     786     773     973     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 32  0   8KB   64   1177.0  946.8   944   928  1120   960   976      980.8   789.0     786     773     933     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 41  0   8KB   64   1187.0  957.5   960   944  1232   960   992      989.2   797.9     800     786    1026     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm 48  0   8KB   64   1182.0  952.5   960   928  1152   960   992      985.0   793.8     800     773     960     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm 63  0   8KB   64   1190.0  959.9   960   944  1152   976   992      991.7   799.9     800     786     960     813       826            0    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   64   1168.0  936.9   944   928  1184   944   960      973.3   780.7     786     773     986     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  1   8KB   64   1209.0  978.5   976   960  1136   992  1008     1007.5   815.4     813     800     946     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  2   8KB   64   1209.0  978.5   976   960  1232   992  1008     1007.5   815.4     813     800    1026     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  3   8KB   64   1209.0  978.6   976   960  1152   992  1008     1007.5   815.5     813     800     960     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  4   8KB   64   1209.0  978.5   976   960  1152   992  1008     1007.5   815.4     813     800     960     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  6   8KB   64   1209.0  978.6   976   960  1232   992  1008     1007.5   815.5     813     800    1026     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  8   8KB   64   1168.0  936.9   944   928  1168   944   960      973.3   780.8     786     773     973     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 12   8KB   64   1210.0  978.5   976   960  1216   992  1008     1008.3   815.4     813     800    1013     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 16   8KB   64   1168.0  936.8   944   912  1184   944   960      973.3   780.7     786     760     986     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 20   8KB   64   1209.0  978.5   976   960  1232   992  1008     1007.5   815.4     813     800    1026     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 25   8KB   64   1209.0  978.6   976   960  1200   992  1008     1007.5   815.5     813     800    1000     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 32   8KB   64   1168.0  936.9   944   928  1104   944   960      973.3   780.7     786     773     920     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 41   8KB   64   1209.0  978.6   976   960  1152   992  1008     1007.5   815.5     813     800     960     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 48   8KB   64   1168.0  936.8   944   912  1152   944   960      973.3   780.6     786     760     960     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 63   8KB   64   1209.0  978.6   976   960  1232   992  1008     1007.5   815.5     813     800    1026     826       840            0    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  128   1214.0  983.9   976   960  1264   992  1008     1011.7   820.0     813     800    1053     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  1  0   8KB  128   1234.0 1003.6   992   976  1424  1040  1056     1028.3   836.3     826     813    1186     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  2  0   8KB  128   1234.0 1003.5   992   976  1296  1040  1056     1028.3   836.3     826     813    1080     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  3  0   8KB  128   1235.0 1003.7   992   976  1200  1040  1056     1029.2   836.4     826     813    1000     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  4  0   8KB  128   1234.0 1003.0   992   976  1328  1040  1056     1028.3   835.8     826     813    1106     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  6  0   8KB  128   1234.0 1003.7   992   976  1360  1040  1056     1028.3   836.4     826     813    1133     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  8  0   8KB  128   1227.0  997.5   992   976  1184  1040  1056     1022.5   831.3     826     813     986     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm 12  0   8KB  128   1230.0 1000.6   992   976  1184  1040  1056     1025.0   833.8     826     813     986     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm 16  0   8KB  128   1232.0 1001.4   992   976  1184  1056  1056     1026.7   834.5     826     813     986     880       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm 20  0   8KB  128   1237.0 1006.6   992   976  1376  1056  1072     1030.8   838.8     826     813    1146     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm 25  0   8KB  128   1238.0 1007.6  1008   976  1232  1056  1072     1031.7   839.6     840     813    1026     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm 32  0   8KB  128   1231.0 1001.2   992   976  1376  1056  1056     1025.8   834.3     826     813    1146     880       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm 41  0   8KB  128   1243.0 1012.5  1008   992  1376  1072  1072     1035.8   843.7     840     826    1146     893       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm 48  0   8KB  128   1233.0 1002.6   992   976  1344  1056  1072     1027.5   835.5     826     813    1120     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm 63  0   8KB  128   1242.0 1012.7  1008   976  1200  1072  1072     1035.0   843.9     840     813    1000     893       893            0    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  128   1213.0  984.1   976   960  1184   992  1008     1010.8   820.1     813     800     986     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  1   8KB  128   1249.0 1019.6  1024   992  1200  1040  1056     1040.8   849.7     853     826    1000     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  2   8KB  128   1250.0 1019.6  1024   992  1280  1040  1056     1041.7   849.7     853     826    1066     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  3   8KB  128   1249.0 1019.7  1024   992  1200  1040  1056     1040.8   849.8     853     826    1000     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  4   8KB  128   1250.0 1019.6  1024   992  1200  1040  1056     1041.7   849.7     853     826    1000     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  6   8KB  128   1250.0 1019.6  1024   992  1280  1040  1056     1041.7   849.7     853     826    1066     866       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  8   8KB  128   1214.0  984.1   976   960  1216   992  1008     1011.7   820.1     813     800    1013     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 12   8KB  128   1250.0 1019.7  1024   992  1200  1040  1056     1041.7   849.8     853     826    1000     866       880            0    2097152
