Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,4,1023,791.7436904907227,784.0,768,1152,800.0,1008.0,852.5,659.7864087422689,653.3333333333334,640.0,960.0,666.6666666666666,840.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,8,1023,792.0385208129883,784.0,768,1136,800.0,1008.0,852.5,660.0321006774902,653.3333333333334,640.0,946.6666666666666,666.6666666666666,840.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,16,1024,794.031364440918,784.0,768,1216,800.0,1024.0,853.3333333333334,661.692803700765,653.3333333333334,640.0,1013.3333333333334,666.6666666666666,853.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,24,1029,798.1575241088867,800.0,768,1152,800.0,1056.0,857.5,665.1312700907389,666.6666666666666,640.0,960.0,666.6666666666666,880.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,32,1032,800.5342025756836,800.0,768,1168,816.0,1056.0,860.0,667.1118354797363,666.6666666666666,640.0,973.3333333333334,680.0,880.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,48,1043,811.4694137573242,800.0,784,1184,816.0,992.0,869.1666666666666,676.2245114644369,666.6666666666666,653.3333333333334,986.6666666666666,680.0,826.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,1040,809.9604034423828,800.0,784,1136,832.0,1056.0,866.6666666666666,674.9670028686523,666.6666666666666,653.3333333333334,946.6666666666666,693.3333333333334,880.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,128,1070,838.9243469238281,832.0,800,1200,848.0,1040.0,891.6666666666666,699.1036224365234,693.3333333333334,666.6666666666666,1000.0,706.6666666666666,866.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,256,1123,890.2345123291016,880.0,864,1264,896.0,1136.0,935.8333333333334,741.8620936075846,733.3333333333334,720.0,1053.3333333333333,746.6666666666666,946.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,512,1223,991.4476928710938,992.0,960,1376,1008.0,1232.0,1019.1666666666666,826.2064107259115,826.6666666666666,800.0,1146.6666666666667,840.0,1026.6666666666667,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,768,1326,1094.9668655395508,1088.0,1056,1456,1136.0,1328.0,1105.0,912.4723879496256,906.6666666666666,880.0,1213.3333333333333,946.6666666666666,1106.6666666666667,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1024,1397,1165.8049392700195,1168.0,1136,1568,1184.0,1408.0,1164.1666666666667,971.5041160583496,973.3333333333334,946.6666666666666,1306.6666666666667,986.6666666666666,1173.3333333333333,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1280,1495,1265.1669540405273,1264.0,1232,1632,1296.0,1504.0,1245.8333333333333,1054.3057950337727,1053.3333333333333,1026.6666666666667,1360.0,1080.0,1253.3333333333333,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1520,1573,1341.1289520263672,1344.0,1312,1712,1360.0,1552.0,1310.8333333333333,1117.6074600219727,1120.0,1093.3333333333333,1426.6666666666667,1133.3333333333333,1293.3333333333333,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,2048,1740,1507.8021240234375,1504.0,1472,1936,1568.0,1760.0,1450.0,1256.5017700195312,1253.3333333333333,1226.6666666666667,1613.3333333333333,1306.6666666666667,1466.6666666666667,0,2097152
