#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_DMA_WRRD Rand    Cold  0  0  8192   64   1168.0  936.9   944   928  1056   944   960      973.3   780.7     786     773     880     786       800            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 65536   64   1168.0  936.8   944   912  1168   944   976      973.3   780.6     786     760     973     786       813            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 262144   64   1168.0  936.9   944   912  1152   944  1040      973.3   780.7     786     760     960     786       866            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 524288   64   1168.0  937.1   944   928  1168   944  1040      973.3   780.9     786     773     973     786       866            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 1048576   64   1168.0  937.2   944   912  1168   944  1040      973.3   781.0     786     760     973     786       866            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 1572864.0   64   1179.0  949.2   944   912  1168  1040  1072      982.5   791.0     786     760     973     866       893            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 2097152   64   1194.0  963.5   944   912  1184  1056  1104      995.0   802.9     786     760     986     880       920            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 4194304   64   1234.0 1003.4  1040   912  1440  1056  1136     1028.3   836.2     866     760    1200     880       946            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 8388608   64   1253.0 1023.6  1040   912  1440  1056  1152     1044.2   853.0     866     760    1200     880       960            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 16777216   64   1263.0 1033.8  1040   928  1440  1056  1152     1052.5   861.5     866     773    1200     880       960            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 33554432   64   1269.0 1038.9  1040   928  1536  1056  1152     1057.5   865.8     866     773    1280     880       960            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 67108864   64   1271.0 1041.3  1040   928  1440  1056  1152     1059.2   867.7     866     773    1200     880       960            0    2097152


LAT_DMA_WRRD Rand DThrash  0  0  8192   64   1167.0  936.7   944   912  1072   944   960      972.5   780.6     786     760     893     786       800            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 65536   64   1168.0  936.7   944   912  1168   944   976      973.3   780.6     786     760     973     786       813            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 262144   64   1168.0  937.0   944   912  1152   944  1040      973.3   780.8     786     760     960     786       866            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 524288   64   1167.0  937.3   944   928  1168   944  1056      972.5   781.1     786     773     973     786       880            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 1048576   64   1168.0  937.6   944   912  1408   944  1056      973.3   781.3     786     760    1173     786       880            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 1572864.0   64   1179.0  950.0   944   912  1408  1040  1072      982.5   791.6     786     760    1173     866       893            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 2097152   64   1194.0  964.3   944   912  1440  1056  1104      995.0   803.6     786     760    1200     880       920            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 4194304   64   1234.0 1003.9  1040   928  1440  1056  1136     1028.3   836.6     866     773    1200     880       946            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 8388608   64   1252.0 1023.7  1040   912  1424  1056  1152     1043.3   853.1     866     760    1186     880       960            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 16777216   64   1263.0 1033.7  1040   912  1440  1056  1152     1052.5   861.5     866     760    1200     880       960            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 33554432   64   1269.0 1038.9  1040   928  1440  1056  1152     1057.5   865.7     866     773    1200     880       960            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 67108864   64   1271.0 1041.4  1040   928  1472  1056  1152     1059.2   867.9     866     773    1226     880       960            0    2097152


LAT_DMA_WRRD Rand   DWarm  0  0  8192   64   1168.0  936.8   944   928  1120   944   960      973.3   780.7     786     773     933     786       800            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 65536   64   1167.0  936.8   944   912  1152   944   960      972.5   780.7     786     760     960     786       800            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 262144   64   1168.0  937.0   944   928  1168   944  1040      973.3   780.9     786     773     973     786       866            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 524288   64   1167.0  937.0   944   912  1152   944  1040      972.5   780.8     786     760     960     786       866            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 1048576   64   1168.0  937.5   944   928  1168   944  1056      973.3   781.3     786     773     973     786       880            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 1572864.0   64   1180.0  950.0   944   912  1408  1040  1072      983.3   791.7     786     760    1173     866       893            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 2097152   64   1194.0  964.6   944   928  1184  1056  1104      995.0   803.8     786     773     986     880       920            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 4194304   64   1233.0 1003.9  1040   928  1424  1056  1136     1027.5   836.6     866     773    1186     880       946            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 8388608   64   1254.0 1023.8  1040   912  1424  1056  1152     1045.0   853.2     866     760    1186     880       960            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 16777216   64   1263.0 1033.9  1040   928  1440  1056  1152     1052.5   861.6     866     773    1200     880       960            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 33554432   64   1269.0 1038.9  1040   928  1440  1056  1152     1057.5   865.8     866     773    1200     880       960            0    2097152
LAT_DMA_WRRD Rand   DWarm  0  0 67108864   64   1271.0 1041.3  1040   912  1424  1056  1152     1059.2   867.7     866     760    1186     880       960            0    2097152


LAT_DMA_WRRD Rand   HWarm  0  0  8192   64   1167.0  936.8   944   912  1104   944   960      972.5   780.6     786     760     920     786       800            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 65536   64   1168.0  936.9   944   928  1200   944   976      973.3   780.8     786     773    1000     786       813            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 262144   64   1167.0  937.0   944   912  1200   944  1088      972.5   780.9     786     760    1000     786       906            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 524288   64   1168.0  937.3   944   912  1200   944  1088      973.3   781.1     786     760    1000     786       906            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 1048576   64   1168.0  938.0   944   928  1200   944  1088      973.3   781.7     786     773    1000     786       906            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 1572864.0   64   1180.0  950.4   944   912  1216  1040  1088      983.3   792.0     786     760    1013     866       906            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 2097152   64   1195.0  964.9   944   912  1408  1056  1104      995.8   804.1     786     760    1173     880       920            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 4194304   64   1235.0 1005.1  1040   912  1424  1056  1152     1029.2   837.5     866     760    1186     880       960            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 8388608   64   1256.0 1026.3  1040   912  1424  1072  1152     1046.7   855.2     866     760    1186     893       960            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 16777216   64   1268.0 1038.1  1040   912  1456  1088  1152     1056.7   865.1     866     760    1213     906       960            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 33554432   64   1273.0 1042.6  1040   912  1440  1088  1152     1060.8   868.9     866     760    1200     906       960            0    2097152
LAT_DMA_WRRD Rand   HWarm  0  0 67108864   64   1273.0 1044.2  1040   928  1440  1088  1152     1060.8   870.1     866     773    1200     906       960            0    2097152
