Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Seq,HWarm,0,0,8192,64,161638464,134698720.0,536870912,8388608,31.885732069317363,62276820.447885476
BW_DMA_RD,Seq,HWarm,1,0,8192,64,197462720,164552266.66666666,536870912,8388608,26.100930622246064,50978380.12157434
BW_DMA_RD,Seq,HWarm,2,0,8192,64,197459376,164549480.0,536870912,8388608,26.101372644872534,50979243.447016664
BW_DMA_RD,Seq,HWarm,3,0,8192,64,197456832,164547360.0,536870912,8388608,26.10170893048664,50979900.25485671
BW_DMA_RD,Seq,HWarm,4,0,8192,64,183387552,152822960.0,536870912,8388608,28.104201724662314,54891018.993481085
BW_DMA_RD,Seq,HWarm,6,0,8192,64,191447456,159539546.66666666,536870912,8388608,26.921019808171284,52580116.812834546
BW_DMA_RD,Seq,HWarm,8,0,8192,64,183211728,152676440.0,536870912,8388608,28.131172668160197,54943696.61750038
BW_DMA_RD,Seq,HWarm,12,0,8192,64,183001264,152501053.33333334,536870912,8388608,28.163525445376155,55006885.63550031
BW_DMA_RD,Seq,HWarm,16,0,8192,64,198682480,165568733.33333334,536870912,8388608,25.940690669856746,50665411.46456395
BW_DMA_RD,Seq,HWarm,20,0,8192,64,183281024,152734186.66666666,536870912,8388608,28.120536663959278,54922923.171795465
BW_DMA_RD,Seq,HWarm,25,0,8192,64,191152864,159294053.33333334,536870912,8388608,26.96250868205668,52661149.76964195
BW_DMA_RD,Seq,HWarm,32,0,8192,64,195991536,163326280.0,536870912,8388608,26.29685373352041,51361042.448282056
BW_DMA_RD,Seq,HWarm,41,0,8192,64,191899024,159915853.33333334,536870912,8388608,26.85767049654197,52456387.68855854
BW_DMA_RD,Seq,HWarm,48,0,8192,64,196711680,163926400.0,536870912,8388608,26.20058328615769,51173014.23077674
BW_DMA_RD,Seq,HWarm,63,0,8192,64,197835936,164863280.0,536870912,8388608,26.051691413636803,50882209.79225938
BW_DMA_RD,Seq,HWarm,0,0,8192,64,161601328,134667773.33333334,536870912,8388608,31.893059413472145,62291131.666937776
BW_DMA_RD,Seq,HWarm,0,1,8192,64,406344992,338620826.6666667,536870912,8388608,12.683706841894583,24772864.925575357
BW_DMA_RD,Seq,HWarm,0,2,8192,64,406343952,338619960.0,536870912,8388608,12.683739304676546,24772928.32944638
BW_DMA_RD,Seq,HWarm,0,3,8192,64,406347040,338622533.3333333,536870912,8388608,12.683642915671294,24772740.0696705
BW_DMA_RD,Seq,HWarm,0,4,8192,64,406351232,338626026.6666667,536870912,8388608,12.683512068692337,24772484.50916472
BW_DMA_RD,Seq,HWarm,0,6,8192,64,406352432,338627026.6666667,536870912,8388608,12.683474612993088,24772411.353502125
BW_DMA_RD,Seq,HWarm,0,8,8192,64,161591312,134659426.66666666,536870912,8388608,31.895036257889906,62294992.69119122
BW_DMA_RD,Seq,HWarm,0,12,8192,64,406345744,338621453.3333333,536870912,8388608,12.683683368909605,24772819.079901572
BW_DMA_RD,Seq,HWarm,0,16,8192,64,161618464,134682053.33333334,536870912,8388608,31.889677872449028,62284527.094627
BW_DMA_RD,Seq,HWarm,0,20,8192,64,406355072,338629226.6666667,536870912,8388608,12.68339221123343,24772250.412565295
BW_DMA_RD,Seq,HWarm,0,25,8192,64,406348720,338623933.3333333,536870912,8388608,12.683590476672352,24772637.64975069
BW_DMA_RD,Seq,HWarm,0,32,8192,64,161595776,134663146.66666666,536870912,8388608,31.894155173957024,62293271.82413482
BW_DMA_RD,Seq,HWarm,0,41,8192,64,406345232,338621026.6666667,536870912,8388608,12.68369935050696,24772850.293958902
BW_DMA_RD,Seq,HWarm,0,48,8192,64,161573936,134644946.66666666,536870912,8388608,31.898466316993108,62301692.02537717
BW_DMA_RD,Seq,HWarm,0,63,8192,64,406346192,338621826.6666667,536870912,8388608,12.683669385044956,24772791.76766593
BW_DMA_RD,Seq,HWarm,0,0,8192,128,236891136,197409280.0,1073741824,8388608,43.51332719515516,42493483.58901872
BW_DMA_RD,Seq,HWarm,1,0,8192,128,320683056,267235880.0,1073741824,8388608,32.14364250788479,31390275.886606246
BW_DMA_RD,Seq,HWarm,2,0,8192,128,320706576,267255480.0,1073741824,8388608,32.141285155312815,31387973.78448517
BW_DMA_RD,Seq,HWarm,3,0,8192,128,320711152,267259293.33333334,1073741824,8388608,32.14082655410748,31387525.93174558
BW_DMA_RD,Seq,HWarm,4,0,8192,128,305388880,254490733.33333334,1073741824,8388608,33.753427794751396,32962331.830811914
BW_DMA_RD,Seq,HWarm,6,0,8192,128,305666416,254722013.33333334,1073741824,8388608,33.72278068782015,32932403.015449364
BW_DMA_RD,Seq,HWarm,8,0,8192,128,303211120,252675933.33333334,1073741824,8388608,33.99585579315165,33199077.922999658
BW_DMA_RD,Seq,HWarm,12,0,8192,128,302748160,252290133.33333334,1073741824,8388608,34.047841976644875,33249845.680317264
BW_DMA_RD,Seq,HWarm,16,0,8192,128,319766944,266472453.33333334,1073741824,8388608,32.23573200361823,31480207.03478343
BW_DMA_RD,Seq,HWarm,20,0,8192,128,310945136,259120946.66666666,1073741824,8388608,33.150290250560474,32373330.322812967
BW_DMA_RD,Seq,HWarm,25,0,8192,128,310949600,259124666.66666666,1073741824,8388608,33.149814344189544,32372865.5704976
BW_DMA_RD,Seq,HWarm,32,0,8192,128,321264896,267720746.66666666,1073741824,8388608,32.08542744240566,31333425.236724276
BW_DMA_RD,Seq,HWarm,41,0,8192,128,308049200,256707666.66666666,1073741824,8388608,33.461932413393704,32677668.37245479
BW_DMA_RD,Seq,HWarm,48,0,8192,128,322622864,268852386.6666667,1073741824,8388608,31.95037506827166,31201538.152609047
BW_DMA_RD,Seq,HWarm,63,0,8192,128,322628624,268857186.6666667,1073741824,8388608,31.949804647215675,31200981.100796558
BW_DMA_RD,Seq,HWarm,0,0,8192,128,236895248,197412706.66666666,1073741824,8388608,43.51257189591241,42492745.99210196
BW_DMA_RD,Seq,HWarm,0,1,8192,128,436397360,363664466.6666667,1073741824,8388608,23.620494657437888,23066889.31390419
BW_DMA_RD,Seq,HWarm,0,2,8192,128,435006272,362505226.6666667,1073741824,8388608,23.696029629660142,23140653.935214985
BW_DMA_RD,Seq,HWarm,0,3,8192,128,435056976,362547480.0,1073741824,8388608,23.693267960378595,23137956.992557224
BW_DMA_RD,Seq,HWarm,0,4,8192,128,434998784,362498986.6666667,1073741824,8388608,23.696437529351805,23141052.27475762
BW_DMA_RD,Seq,HWarm,0,6,8192,128,436407120,363672600.0,1073741824,8388608,23.619966398348403,23066373.435887113
BW_DMA_RD,Seq,HWarm,0,8,8192,128,236894288,197411906.66666666,1073741824,8388608,43.51274822801975,42492918.19142554
BW_DMA_RD,Seq,HWarm,0,12,8192,128,435062144,362551786.6666667,1073741824,8388608,23.692986513669183,23137682.14225506
BW_DMA_RD,Seq,HWarm,0,16,8192,128,236897248,197414373.33333334,1073741824,8388608,43.51220454194554,42492387.24799369
BW_DMA_RD,Seq,HWarm,0,20,8192,128,435011984,362509986.6666667,1073741824,8388608,23.69571848484983,23140350.082861166
BW_DMA_RD,Seq,HWarm,0,25,8192,128,435045952,362538293.3333333,1073741824,8388608,23.6938683442801,23138543.304961037
BW_DMA_RD,Seq,HWarm,0,32,8192,128,236891248,197409373.33333334,1073741824,8388608,43.51330662245487,42493463.498491086
BW_DMA_RD,Seq,HWarm,0,41,8192,128,436394432,363662026.6666667,1073741824,8388608,23.620653139772415,23067044.081809
BW_DMA_RD,Seq,HWarm,0,48,8192,128,236896496,197413746.66666666,1073741824,8388608,43.51234266630943,42492522.1350678
BW_DMA_RD,Seq,HWarm,0,63,8192,128,434999936,362499946.6666667,1073741824,8388608,23.696374774639047,23140990.990858443
BW_DMA_RD,Seq,HWarm,0,0,8192,256,431662848,359719040.0,2147483648,8388608,47.759132193836614,23319888.766521785
BW_DMA_RD,Seq,HWarm,1,0,8192,256,522831536,435692946.6666667,2147483648,8388608,39.43113909792924,19253485.88766076
BW_DMA_RD,Seq,HWarm,2,0,8192,256,522869600,435724666.6666667,2147483648,8388608,39.42826857939341,19252084.267281935
BW_DMA_RD,Seq,HWarm,3,0,8192,256,522871888,435726573.3333333,2147483648,8388608,39.42809604787932,19252000.023378577
BW_DMA_RD,Seq,HWarm,4,0,8192,256,507241440,422701200.0,2147483648,8388608,40.64305751675179,19845242.928101458
BW_DMA_RD,Seq,HWarm,6,0,8192,256,507176800,422647333.3333333,2147483648,8388608,40.64823749982255,19847772.21671023
BW_DMA_RD,Seq,HWarm,8,0,8192,256,506801024,422334186.6666667,2147483648,8388608,40.67837680769958,19862488.675634563
BW_DMA_RD,Seq,HWarm,12,0,8192,256,503970016,419975013.3333333,2147483648,8388608,40.90688407303978,19974064.48878895
BW_DMA_RD,Seq,HWarm,16,0,8192,256,522062016,435051680.0,2147483648,8388608,39.48926064140242,19281865.547559775
BW_DMA_RD,Seq,HWarm,20,0,8192,256,504787232,420656026.6666667,2147483648,8388608,40.8406586258505,19941727.844653565
BW_DMA_RD,Seq,HWarm,25,0,8192,256,507274912,422729093.3333333,2147483648,8388608,40.64037572747142,19843933.460679404
BW_DMA_RD,Seq,HWarm,32,0,8192,256,522853968,435711640.0,2147483648,8388608,39.42944738405428,19252659.85549525
BW_DMA_RD,Seq,HWarm,41,0,8192,256,507287104,422739253.3333333,2147483648,8388608,40.63939898775744,19843456.536990937
BW_DMA_RD,Seq,HWarm,48,0,8192,256,522463568,435386306.6666667,2147483648,8388608,39.458910215917676,19267046.003866054
BW_DMA_RD,Seq,HWarm,63,0,8192,256,524205984,436838320.0,2147483648,8388608,39.32775216240187,19203003.98554779
BW_DMA_RD,Seq,HWarm,0,0,8192,256,431642896,359702413.3333333,2147483648,8388608,47.76133978305993,23320966.690947235
BW_DMA_RD,Seq,HWarm,0,1,8192,256,637537296,531281080.0,2147483648,8388608,32.33668547729951,15789397.205712654
BW_DMA_RD,Seq,HWarm,0,2,8192,256,637507888,531256573.3333333,2147483648,8388608,32.338177156484065,15790125.564689483
