Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,Cold,0,0,4096,128,242327728,201939773.33333334,1073741824,8388608,42.53711119018126,41540147.64666138
BW_DMA_RD,Rand,Cold,0,0,16384,128,241608608,201340506.66666666,1073741824,8388608,42.66371796819425,41663787.07831469
BW_DMA_RD,Rand,Cold,0,0,262144,128,242109968,201758306.66666666,1073741824,8388608,42.57537017393683,41577509.935485184
BW_DMA_RD,Rand,Cold,0,0,524288,128,248326640,206938866.66666666,1073741824,8388608,41.50952757384387,40536648.02133191
BW_DMA_RD,Rand,Cold,0,0,1048576,128,1378873792,1149061493.3333333,1073741824,8388608,7.475609131310548,7300399.542295457
BW_DMA_RD,Rand,Cold,0,0,1572864.0,128,1881678256,1568065213.3333333,1073741824,8388608,5.478046779534025,5349655.0581386965
BW_DMA_RD,Rand,Cold,0,0,2097152,128,2076789600,1730658000.0,1073741824,8388608,4.963392300500734,4847062.793457748
BW_DMA_RD,Rand,Cold,0,0,3145728,128,1558729408,1298941173.3333333,1073741824,8388608,6.613028186608769,6458035.338485127
BW_DMA_RD,Rand,Cold,0,0,4194304,128,1455078208,1212565173.3333333,1073741824,8388608,7.084101358763529,6918067.733167508
BW_DMA_RD,Rand,Cold,0,0,8388608,128,1029049440,857541200.0,1073741824,8388608,10.016935153669584,9782163.236005453
BW_DMA_RD,Rand,Cold,0,0,16777216,128,787757216,656464346.6666666,1073741824,8388608,13.085150222730553,12778467.014385305
BW_DMA_RD,Rand,Cold,0,0,33554432,128,673812944,561510786.6666666,1073741824,8388608,15.29789773584403,14939353.257660186
BW_DMA_RD,Rand,Cold,0,0,67108864,128,615300064,512750053.3333333,1073741824,8388608,16.75267420482505,16360033.40314946
BW_DMA_RD,Rand,DThrash,0,0,4096,128,242275904,201896586.66666666,1073741824,8388608,42.54621008616689,41549033.28727235
BW_DMA_RD,Rand,DThrash,0,0,16384,128,241593280,201327733.33333334,1073741824,8388608,42.666424787974236,41666430.45700609
BW_DMA_RD,Rand,DThrash,0,0,262144,128,242098944,201749120.0,1073741824,8388608,42.57730884774119,41579403.17162226
BW_DMA_RD,Rand,DThrash,0,0,524288,128,248566816,207139013.33333334,1073741824,8388608,41.469419274373294,40497479.76013017
BW_DMA_RD,Rand,DThrash,0,0,1048576,128,1334053648,1111711373.3333333,1073741824,8388608,7.726766855181225,7545670.757012915
BW_DMA_RD,Rand,DThrash,0,0,1572864.0,128,1974770320,1645641933.3333333,1073741824,8388608,5.219807795369337,5097468.550165368
BW_DMA_RD,Rand,DThrash,0,0,2097152,128,2146358352,1788631960.0,1073741824,8388608,4.802516551252948,4689957.569582957
BW_DMA_RD,Rand,DThrash,0,0,3145728,128,1565545360,1304621133.3333333,1073741824,8388608,6.58423688879893,6429918.836717704
BW_DMA_RD,Rand,DThrash,0,0,4194304,128,1454860000,1212383333.3333333,1073741824,8388608,7.0851638717127425,6919105.343469475
BW_DMA_RD,Rand,DThrash,0,0,8388608,128,1029264320,857720266.6666666,1073741824,8388608,10.014843913369115,9780121.009149525
BW_DMA_RD,Rand,DThrash,0,0,16777216,128,787465520,656221266.6666666,1073741824,8388608,13.089997274293356,12783200.463177107
BW_DMA_RD,Rand,DThrash,0,0,33554432,128,673787504,561489586.6666666,1073741824,8388608,15.2984753341463,14939917.318502245
BW_DMA_RD,Rand,DThrash,0,0,67108864,128,615192688,512660573.3333333,1073741824,8388608,16.75559822388526,16362888.890512953
BW_DMA_RD,Rand,DWarm,0,0,4096,128,235659680,196383066.66666666,1073741824,8388608,43.740709103907804,42715536.23428497
BW_DMA_RD,Rand,DWarm,0,0,16384,128,235656704,196380586.66666666,1073741824,8388608,43.74126148518143,42716075.66912249
BW_DMA_RD,Rand,DWarm,0,0,262144,128,239340544,199450453.33333334,1073741824,8388608,43.06801237319825,42058605.833201416
BW_DMA_RD,Rand,DWarm,0,0,524288,128,243614032,203011693.33333334,1073741824,8388608,42.31251141724053,41320811.93089895
BW_DMA_RD,Rand,DWarm,0,0,1048576,128,1323021152,1102517626.6666667,1073741824,8388608,7.791199328005906,7608593.093755768
BW_DMA_RD,Rand,DWarm,0,0,1572864.0,128,1796633984,1497194986.6666667,1073741824,8388608,5.737351960498149,5602882.773923974
BW_DMA_RD,Rand,DWarm,0,0,2097152,128,2026207696,1688506413.3333333,1073741824,8388608,5.087297580968225,4968064.043914283
BW_DMA_RD,Rand,DWarm,0,0,3145728,128,1556420496,1297017080.0,1073741824,8388608,6.622838453291609,6467615.677042588
BW_DMA_RD,Rand,DWarm,0,0,4194304,128,1448628016,1207190013.3333333,1073741824,8388608,7.115644179561415,6948871.269102944
BW_DMA_RD,Rand,DWarm,0,0,8388608,128,1026220592,855183826.6666666,1073741824,8388608,10.044547527847698,9809128.445163768
BW_DMA_RD,Rand,DWarm,0,0,16777216,128,787559904,656299920.0,1073741824,8388608,13.088428522130553,12781668.478643117
BW_DMA_RD,Rand,DWarm,0,0,33554432,128,672968944,560807453.3333334,1073741824,8388608,15.317083503336224,14958089.35872678
BW_DMA_RD,Rand,DWarm,0,0,67108864,128,615385504,512821253.3333333,1073741824,8388608,16.750348266897102,16357761.979391703
BW_DMA_RD,Rand,HWarm,0,0,4096,128,236896416,197413680.0,1073741824,8388608,43.512357360442294,42492536.484806925
BW_DMA_RD,Rand,HWarm,0,0,16384,128,236894272,197411893.33333334,1073741824,8388608,43.51275116690031,42492921.06142609
BW_DMA_RD,Rand,HWarm,0,0,262144,128,236907840,197423200.0,1073741824,8388608,43.51025913874357,42490487.44017927
BW_DMA_RD,Rand,HWarm,0,0,524288,128,239609056,199674213.33333334,1073741824,8388608,43.019749263567064,42011473.89020221
BW_DMA_RD,Rand,HWarm,0,0,1048576,128,1317432592,1097860493.3333333,1073741824,8388608,7.82424966028167,7640868.808868818
BW_DMA_RD,Rand,HWarm,0,0,1572864.0,128,1788193168,1490160973.3333333,1073741824,8388608,5.764434007948296,5629330.085887008
BW_DMA_RD,Rand,HWarm,0,0,2097152,128,2017104544,1680920453.3333333,1073741824,8388608,5.110256452032464,4990484.816437953
BW_DMA_RD,Rand,HWarm,0,0,3145728,128,1551974576,1293312146.6666667,1073741824,8388608,6.641810806570842,6486143.365791837
BW_DMA_RD,Rand,HWarm,0,0,4194304,128,1442314608,1201928840.0,1073741824,8388608,7.146791312537271,6979288.391149678
BW_DMA_RD,Rand,HWarm,0,0,8388608,128,1017989344,848324453.3333334,1073741824,8388608,10.125765629232362,9888442.99729723
BW_DMA_RD,Rand,HWarm,0,0,16777216,128,780137616,650114680.0,1073741824,8388608,13.212952816263124,12903274.23463196
BW_DMA_RD,Rand,HWarm,0,0,33554432,128,669539376,557949480.0,1073741824,8388608,15.395541890280102,15034708.877226662
BW_DMA_RD,Rand,HWarm,0,0,67108864,128,613888496,511573746.6666667,1073741824,8388608,16.791195107197446,16397651.471872509
