Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Seq,Cold,0,0,4096,8,801,571.9479904174805,576.0,544,1888,576.0,800.0,667.5,476.6233253479004,480.0,453.3333333333333,1573.3333333333333,480.0,666.6666666666666,1,2097152
LAT_CMD_RD,Seq,Cold,1,0,4096,8,801,572.0299682617188,576.0,544,1760,576.0,800.0,667.5,476.69164021809894,480.0,453.3333333333333,1466.6666666666667,480.0,666.6666666666666,1,2097152
LAT_CMD_RD,Seq,Cold,2,0,4096,8,801,572.0486831665039,576.0,544,1056,576.0,800.0,667.5,476.7072359720866,480.0,453.3333333333333,880.0,480.0,666.6666666666666,0,2097152
LAT_CMD_RD,Seq,Cold,3,0,4096,8,801,571.9212799072266,576.0,544,1040,576.0,800.0,667.5,476.60106658935547,480.0,453.3333333333333,866.6666666666666,480.0,666.6666666666666,0,2097152
LAT_CMD_RD,Seq,Cold,4,0,4096,8,801,571.7923431396484,576.0,544,1040,576.0,800.0,667.5,476.49361928304035,480.0,453.3333333333333,866.6666666666666,480.0,666.6666666666666,0,2097152
LAT_CMD_RD,Seq,Cold,6,0,4096,8,801,571.8612213134766,576.0,544,1760,576.0,800.0,667.5,476.55101776123047,480.0,453.3333333333333,1466.6666666666667,480.0,666.6666666666666,1,2097152
LAT_CMD_RD,Seq,Cold,8,0,4096,8,801,572.0451507568359,576.0,544,1776,576.0,800.0,667.5,476.7042922973633,480.0,453.3333333333333,1480.0,480.0,666.6666666666666,1,2097152
LAT_CMD_RD,Seq,Cold,16,0,4096,8,801,571.756103515625,576.0,544,1776,576.0,800.0,667.5,476.4634195963542,480.0,453.3333333333333,1480.0,480.0,666.6666666666666,1,2097152
LAT_CMD_RD,Seq,Cold,32,0,4096,8,801,572.3188934326172,576.0,544,1056,576.0,800.0,667.5,476.93241119384766,480.0,453.3333333333333,880.0,480.0,666.6666666666666,0,2097152
LAT_CMD_RD,Seq,Cold,48,0,4096,8,801,572.4113540649414,576.0,544,1040,576.0,800.0,667.5,477.0094617207845,480.0,453.3333333333333,866.6666666666666,480.0,666.6666666666666,0,2097152
