#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD  Seq    Cold  0  0  4096    8    801.0  571.9   576   544  1888   576   800      667.5   476.6     480     453    1573     480       666            1    2097152
  LAT_CMD_RD  Seq    Cold  1  0  4096    8    801.0  572.0   576   544  1760   576   800      667.5   476.7     480     453    1466     480       666            1    2097152
  LAT_CMD_RD  Seq    Cold  2  0  4096    8    801.0  572.0   576   544  1056   576   800      667.5   476.7     480     453     880     480       666            0    2097152
  LAT_CMD_RD  Seq    Cold  3  0  4096    8    801.0  571.9   576   544  1040   576   800      667.5   476.6     480     453     866     480       666            0    2097152
  LAT_CMD_RD  Seq    Cold  4  0  4096    8    801.0  571.8   576   544  1040   576   800      667.5   476.5     480     453     866     480       666            0    2097152
  LAT_CMD_RD  Seq    Cold  6  0  4096    8    801.0  571.9   576   544  1760   576   800      667.5   476.6     480     453    1466     480       666            1    2097152
  LAT_CMD_RD  Seq    Cold  8  0  4096    8    801.0  572.0   576   544  1776   576   800      667.5   476.7     480     453    1480     480       666            1    2097152
  LAT_CMD_RD  Seq    Cold 16  0  4096    8    801.0  571.8   576   544  1776   576   800      667.5   476.5     480     453    1480     480       666            1    2097152
  LAT_CMD_RD  Seq    Cold 32  0  4096    8    801.0  572.3   576   544  1056   576   800      667.5   476.9     480     453     880     480       666            0    2097152
  LAT_CMD_RD  Seq    Cold 48  0  4096    8    801.0  572.4   576   544  1040   576   800      667.5   477.0     480     453     866     480       666            0    2097152


  LAT_CMD_RD  Seq   HWarm  0  0  4096    8    733.0  503.1   496   464   752   512   704      610.8   419.3     413     386     626     426       586            0    2097152
  LAT_CMD_RD  Seq   HWarm  1  0  4096    8    734.0  504.0   496   464   768   512   704      611.7   420.0     413     386     640     426       586            0    2097152
  LAT_CMD_RD  Seq   HWarm  2  0  4096    8    734.0  504.0   496   464   752   512   704      611.7   420.0     413     386     626     426       586            0    2097152
