Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Seq,HWarm,0,0,4096,4,734,503.84151458740234,496.0,464,1792,512.0,704.0,611.6666666666666,419.86792882283527,413.3333333333333,386.6666666666667,1493.3333333333333,426.6666666666667,586.6666666666666,3,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,8,735,504.18563079833984,496.0,464,768,512.0,704.0,612.5,420.1546923319499,413.3333333333333,386.6666666666667,640.0,426.6666666666667,586.6666666666666,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,16,738,508.23191833496094,512.0,464,1776,528.0,704.0,615.0,423.52659861246747,426.6666666666667,386.6666666666667,1480.0,440.0,586.6666666666666,1,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,24,741,512.3946533203125,512.0,464,768,528.0,720.0,617.5,426.99554443359375,426.6666666666667,386.6666666666667,640.0,440.0,600.0,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,32,745,515.5200347900391,512.0,480,768,528.0,720.0,620.8333333333334,429.6000289916992,426.6666666666667,400.0,640.0,440.0,600.0,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,48,752,522.6242065429688,528.0,480,768,528.0,720.0,626.6666666666666,435.5201721191406,440.0,400.0,640.0,440.0,600.0,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,64,753,524.3418273925781,528.0,480,1712,544.0,720.0,627.5,436.95152282714844,440.0,400.0,1426.6666666666667,453.3333333333333,600.0,1,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,4,886,637.6664428710938,640.0,608,1824,656.0,848.0,738.3333333333334,531.3887023925781,533.3333333333334,506.6666666666667,1520.0,546.6666666666666,706.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,8,892,637.4787292480469,640.0,608,896,656.0,848.0,743.3333333333334,531.2322743733724,533.3333333333334,506.6666666666667,746.6666666666666,546.6666666666666,706.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,16,907,642.9780502319336,640.0,624,912,656.0,864.0,755.8333333333334,535.8150418599447,533.3333333333334,520.0,760.0,546.6666666666666,720.0,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,24,924,649.3358001708984,640.0,624,912,656.0,880.0,770.0,541.113166809082,533.3333333333334,520.0,760.0,546.6666666666666,733.3333333333334,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,32,941,656.8619842529297,656.0,624,1840,672.0,880.0,784.1666666666666,547.3849868774414,546.6666666666666,520.0,1533.3333333333333,560.0,733.3333333333334,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,48,974,669.3811950683594,672.0,640,928,688.0,880.0,811.6666666666666,557.8176625569662,560.0,533.3333333333334,773.3333333333334,573.3333333333334,733.3333333333334,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,64,983,659.2332229614258,656.0,640,928,672.0,880.0,819.1666666666666,549.3610191345215,546.6666666666666,533.3333333333334,773.3333333333334,560.0,733.3333333333334,0,2097152
