#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0  1024   64    819.0  590.0   592   560  1088   608   848      682.5   491.6     493     466     906     506       706            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  4096   64    819.0  590.0   592   560  1776   608   848      682.5   491.7     493     466    1480     506       706            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 16384   64    819.0  590.0   592   560  1072   608   848      682.5   491.7     493     466     893     506       706            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 262144   64    818.0  589.4   592   560  1056   608   848      681.7   491.2     493     466     880     506       706            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 524288   64    821.0  591.8   592   560  1280   608   880      684.2   493.2     493     466    1066     506       733            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1048576   64    965.0  735.8   864   560  1792   880  1104      804.2   613.2     720     466    1493     733       920            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1572864.0   64   1013.0  784.1   864   560  1904   880  1136      844.2   653.4     720     466    1586     733       946            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 2097152   64   1037.0  808.0   864   560  1808   896  1136      864.2   673.3     720     466    1506     746       946            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 3145728   64   1061.0  832.0   864   560  1456   896  1136      884.2   693.3     720     466    1213     746       946            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 4194304   64   1073.0  844.1   880   576  1440   896  1136      894.2   703.4     733     480    1200     746       946            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 8388608   64   1176.0  864.4   880   576  1456   896  1136      980.0   720.3     733     480    1213     746       946            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 16777216   64   1229.0  874.9   880   576  1472   912  1136     1024.2   729.1     733     480    1226     760       946            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 33554432   64   1255.0  879.8   880   576  1504   912  1136     1045.8   733.2     733     480    1253     760       946            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 67108864   64   1267.0  881.8   880   576  1472   912  1136     1055.8   734.8     733     480    1226     760       946            0    2097152


  LAT_CMD_RD Rand DThrash  0  0  1024   64    819.0  590.0   592   560  1072   608   848      682.5   491.7     493     466     893     506       706            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  4096   64    817.0  588.5   592   480  1056   608   848      680.8   490.4     493     400     880     506       706            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 16384   64    818.0  589.0   592   480  1056   608   848      681.7   490.8     493     400     880     506       706            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 262144   64    995.0  765.5   864   480  1440   880  1120      829.2   638.0     720     400    1200     733       933            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 524288   64   1029.0  799.5   864   480  1504   880  1136      857.5   666.2     720     400    1253     733       946            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 1048576   64   1029.0  799.7   864   480  1472   880  1136      857.5   666.4     720     400    1226     733       946            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 1572864.0   64   1036.0  807.0   864   480  1440   880  1136      863.3   672.5     720     400    1200     733       946            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 2097152   64   1099.0  869.8   880   480  1504   912  1136      915.8   724.8     733     400    1253     760       946            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 3145728   64   1100.0  871.4   880   480  1472   912  1136      916.7   726.2     733     400    1226     760       946            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 4194304   64   1102.0  873.4   880   480  1456   912  1136      918.3   727.8     733     400    1213     760       946            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 8388608   64   1184.0  872.0   880   496  2352   912  1136      986.7   726.7     733     413    1960     760       946            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 16777216   64   1234.0  880.0   880   496  1472   912  1136     1028.3   733.3     733     413    1226     760       946            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 33554432   64   1255.0  879.9   880   496  1792   912  1136     1045.8   733.3     733     413    1493     760       946            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 67108864   64   1266.0  880.9   880   496  1456   912  1136     1055.0   734.1     733     413    1213     760       946            0    2097152


  LAT_CMD_RD Rand   DWarm  0  0  1024   64    734.0  503.4   496   480   752   512   704      611.7   419.5     413     400     626     426       586            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0  4096   64    734.0  503.5   496   480   752   512   704      611.7   419.6     413     400     626     426       586            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 16384   64    737.0  506.3   496   480   944   512   720      614.2   421.9     413     400     786     426       600            0    2097152
