Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_WRRD,Rand,Cold,0,0,1024,8,893,637.4846878051758,640.0,608,1008,656.0,848.0,744.1666666666666,531.2372398376465,533.3333333333334,506.6666666666667,840.0,546.6666666666666,706.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,4096,8,894,637.8050842285156,640.0,608,2048,656.0,848.0,745.0,531.5042368570963,533.3333333333334,506.6666666666667,1706.6666666666667,546.6666666666666,706.6666666666666,1,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,16384,8,894,637.5647888183594,640.0,608,1008,656.0,848.0,745.0,531.3039906819662,533.3333333333334,506.6666666666667,840.0,546.6666666666666,706.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,262144,8,903,647.9271469116211,640.0,608,1408,720.0,896.0,752.5,539.9392890930176,533.3333333333334,506.6666666666667,1173.3333333333333,600.0,746.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,524288,8,907,652.348503112793,640.0,608,1904,720.0,1008.0,755.8333333333334,543.6237525939941,533.3333333333334,506.6666666666667,1586.6666666666667,600.0,840.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,1048576,8,1067,811.5271224975586,912.0,608,1920,1024.0,1216.0,889.1666666666666,676.2726020812988,760.0,506.6666666666667,1600.0,853.3333333333334,1013.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,1572864.0,8,1133,877.8503875732422,928.0,608,1600,1024.0,1232.0,944.1666666666666,731.5419896443685,773.3333333333334,506.6666666666667,1333.3333333333333,853.3333333333334,1026.6666666666667,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,2097152,8,1166,911.1520156860352,928.0,608,1648,1024.0,1248.0,971.6666666666666,759.2933464050293,773.3333333333334,506.6666666666667,1373.3333333333333,853.3333333333334,1040.0,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,3145728,8,1201,946.5534744262695,1008.0,608,1600,1024.0,1264.0,1000.8333333333334,788.7945620218912,840.0,506.6666666666667,1333.3333333333333,853.3333333333334,1053.3333333333333,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,4194304,8,1219,965.2319717407227,1008.0,608,1600,1040.0,1264.0,1015.8333333333334,804.3599764506022,840.0,506.6666666666667,1333.3333333333333,866.6666666666666,1053.3333333333333,0,2097152
