        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0   1KB    8    893.0  637.5   640   608  1008   656   848      744.2   531.2     533     506     840     546       706            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   4KB    8    894.0  637.8   640   608  2048   656   848      745.0   531.5     533     506    1706     546       706            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0  16KB    8    894.0  637.6   640   608  1008   656   848      745.0   531.3     533     506     840     546       706            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 256KB    8    903.0  647.9   640   608  1408   720   896      752.5   539.9     533     506    1173     600       746            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 512KB    8    907.0  652.3   640   608  1904   720  1008      755.8   543.6     533     506    1586     600       840            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   1MB    8   1067.0  811.5   912   608  1920  1024  1216      889.2   676.3     760     506    1600     853      1013            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1.5MB    8   1133.0  877.9   928   608  1600  1024  1232      944.2   731.5     773     506    1333     853      1026            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   2MB    8   1166.0  911.2   928   608  1648  1024  1248      971.7   759.3     773     506    1373     853      1040            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   3MB    8   1201.0  946.6  1008   608  1600  1024  1264     1000.8   788.8     840     506    1333     853      1053            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   4MB    8   1219.0  965.2  1008   608  1600  1040  1264     1015.8   804.4     840     506    1333     866      1053            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   8MB    8   1328.0  989.5  1008   608  1616  1040  1264     1106.7   824.6     840     506    1346     866      1053            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  16MB    8   1382.0 1001.5  1008   608  1600  1056  1264     1151.7   834.6     840     506    1333     880      1053            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  32MB    8   1409.0 1007.8  1008   608  1616  1056  1264     1174.2   839.8     840     506    1346     880      1053            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  64MB    8   1423.0 1010.4  1008   608  1584  1056  1264     1185.8   842.0     840     506    1320     880      1053            0    2097152

LAT_CMD_WRRD Rand DThrash  0  0   1KB    8    893.0  637.4   640   608  1024   656   848      744.2   531.1     533     506     853     546       706            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   4KB    8    893.0  637.7   640   608  1024   656   848      744.2   531.4     533     506     853     546       706            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  16KB    8    893.0  637.5   640   608  1008   656   848      744.2   531.3     533     506     840     546       706            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 256KB    8   1019.0  764.2   656   608  1520  1008  1184      849.2   636.8     546     506    1266     840       986            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 512KB    8   1048.0  792.9   720   608  1568  1008  1200      873.3   660.7     600     506    1306     840      1000            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   1MB    8   1073.0  818.0   912   608  1584  1024  1216      894.2   681.7     760     506    1320     853      1013            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 1.5MB    8   1220.0  965.3   992   608  1616  1024  1248     1016.7   804.4     826     506    1346     853      1040            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   2MB    8   1230.0  975.5  1008   608  1600  1024  1264     1025.0   812.9     840     506    1333     853      1053            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   3MB    8   1245.0  990.5  1008   608  1568  1040  1280     1037.5   825.4     840     506    1306     866      1066            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   4MB    8   1250.0  995.6  1008   608  1616  1040  1280     1041.7   829.6     840     506    1346     866      1066            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   8MB    8   1343.0 1004.5  1008   608  1632  1056  1264     1119.2   837.1     840     506    1360     880      1053            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  16MB    8   1389.0 1008.3  1008   608  1616  1056  1280     1157.5   840.2     840     506    1346     880      1066            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  32MB    8   1409.0 1007.9  1008   624  1920  1056  1264     1174.2   839.9     840     520    1600     880      1053            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  64MB    8   1423.0 1010.6  1008   608  1584  1056  1264     1185.8   842.1     840     506    1320     880      1053            0    2097152

LAT_CMD_WRRD Rand   DWarm  0  0   1KB    8    893.0  637.6   640   608   896   656   848      744.2   531.3     533     506     746     546       706            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   4KB    8    894.0  637.7   640   608   912   656   848      745.0   531.4     533     506     760     546       706            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  16KB    8    893.0  637.6   640   608   928   656   848      744.2   531.4     533     506     773     546       706            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 256KB    8    903.0  648.4   640   608  1120   720   896      752.5   540.3     533     506     933     600       746            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 512KB    8    907.0  652.3   640   608  1312   720  1008      755.8   543.6     533     506    1093     600       840            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   1MB    8   1067.0  812.0   912   608  1568  1024  1216      889.2   676.6     760     506    1306     853      1013            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 1.5MB    8   1134.0  878.8   928   608  1584  1024  1232      945.0   732.3     773     506    1320     853      1026            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   2MB    8   1167.0  912.3   944   608  1632  1024  1248      972.5   760.2     786     506    1360     853      1040            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   3MB    8   1202.0  946.8  1008   608  1584  1024  1264     1001.7   789.0     840     506    1320     853      1053            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   4MB    8   1220.0  965.0  1008   608  1600  1040  1264     1016.7   804.2     840     506    1333     866      1053            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0   8MB    8   1328.0  989.4  1008   608  1584  1040  1264     1106.7   824.5     840     506    1320     866      1053            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  16MB    8   1382.0 1001.7  1008   608  1584  1056  1264     1151.7   834.7     840     506    1320     880      1053            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  32MB    8   1409.0 1007.6  1008   608  1584  1056  1264     1174.2   839.7     840     506    1320     880      1053            0    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  64MB    8   1423.0 1010.6  1008   624  1584  1056  1264     1185.8   842.2     840     520    1320     880      1053            0    2097152

LAT_CMD_WRRD Rand   HWarm  0  0   1KB    8    893.0  637.7   640   608   960   656   848      744.2   531.4     533     506     800     546       706            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   4KB    8    893.0  637.6   640   608  1952   656   848      744.2   531.4     533     506    1626     546       706            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  16KB    8    893.0  637.6   640   608  1856   656   848      744.2   531.4     533     506    1546     546       706            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0 256KB    8    894.0  637.9   640   608  1136   656   848      745.0   531.6     533     506     946     546       706            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0 512KB    8    896.0  640.2   640   608  1200   656   944      746.7   533.5     533     506    1000     546       786            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   1MB    8   1041.0  786.1   912   608  1856   944  1152      867.5   655.1     760     506    1546     786       960            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0 1.5MB    8   1090.0  834.6   928   608  2048   944  1152      908.3   695.5     773     506    1706     786       960            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   2MB    8   1114.0  859.2   928   608  1424   944  1152      928.3   716.0     773     506    1186     786       960            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   3MB    8   1138.0  883.4   928   608  1872   944  1168      948.3   736.1     773     506    1560     786       973            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   4MB    8   1151.0  895.9   928   608  1856   944  1168      959.2   746.6     773     506    1546     786       973            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0   8MB    8   1250.0  912.2   928   608  1856   960  1168     1041.7   760.2     773     506    1546     800       973            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  16MB    8   1311.0  931.4   928   608  1584  1008  1200     1092.5   776.2     773     506    1320     840      1000            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  32MB    8   1374.0  973.1   992   608  1584  1024  1264     1145.0   810.9     826     506    1320     853      1053            0    2097152
LAT_CMD_WRRD Rand   HWarm  0  0  64MB    8   1405.0  993.4  1008   624  1600  1040  1264     1170.8   827.8     840     520    1333     866      1053            0    2097152
