Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,64,1171,942.8959121704102,944.0,928,1184,960.0,1136.0,975.8333333333334,785.7465934753418,786.6666666666666,773.3333333333334,986.6666666666666,800.0,946.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,1,0,8192,64,1194,965.0981597900391,960.0,944,2048,976.0,1152.0,995.0,804.2484664916992,800.0,786.6666666666666,1706.6666666666667,813.3333333333334,960.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,2,0,8192,64,1194,965.3368530273438,960.0,944,2224,976.0,1152.0,995.0,804.4473775227865,800.0,786.6666666666666,1853.3333333333333,813.3333333333334,960.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,3,0,8192,64,1194,965.2880554199219,960.0,944,2048,976.0,1152.0,995.0,804.4067128499349,800.0,786.6666666666666,1706.6666666666667,813.3333333333334,960.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,4,0,8192,64,1192,963.4697875976562,960.0,944,1216,976.0,1152.0,993.3333333333334,802.8914896647135,800.0,786.6666666666666,1013.3333333333334,813.3333333333334,960.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,6,0,8192,64,1194,965.3416900634766,960.0,944,2336,976.0,1152.0,995.0,804.4514083862305,800.0,786.6666666666666,1946.6666666666667,813.3333333333334,960.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,8,0,8192,64,1187,958.8882751464844,960.0,928,1216,976.0,1152.0,989.1666666666666,799.0735626220703,800.0,773.3333333333334,1013.3333333333334,813.3333333333334,960.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,12,0,8192,64,1187,958.6719131469727,960.0,928,1216,976.0,1152.0,989.1666666666666,798.8932609558105,800.0,773.3333333333334,1013.3333333333334,813.3333333333334,960.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,16,0,8192,64,1185,956.9689407348633,960.0,944,1216,960.0,1152.0,987.5,797.4741172790527,800.0,786.6666666666666,1013.3333333333334,800.0,960.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,20,0,8192,64,1187,959.0509490966797,960.0,944,2096,976.0,1168.0,989.1666666666666,799.209124247233,800.0,786.6666666666666,1746.6666666666667,813.3333333333334,973.3333333333334,0,2097152
