Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,4,885,655.5404205322266,656.0,608,928,672.0,864.0,737.5,546.2836837768555,546.6666666666666,506.6666666666667,773.3333333333334,560.0,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,8,884,654.6961975097656,656.0,608,1824,672.0,864.0,736.6666666666666,545.5801645914713,546.6666666666666,506.6666666666667,1520.0,560.0,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,16,886,656.7993927001953,656.0,624,1824,672.0,864.0,738.3333333333334,547.3328272501627,546.6666666666666,520.0,1520.0,560.0,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,24,892,661.8306884765625,656.0,624,1824,672.0,864.0,743.3333333333334,551.5255737304688,546.6666666666666,520.0,1520.0,560.0,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,32,894,663.1052703857422,656.0,624,928,672.0,864.0,745.0,552.5877253214518,546.6666666666666,520.0,773.3333333333334,560.0,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,48,904,674.570915222168,672.0,640,1840,688.0,880.0,753.3333333333334,562.1424293518066,560.0,533.3333333333334,1533.3333333333333,573.3333333333334,733.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,902,672.0354461669922,672.0,624,928,688.0,880.0,751.6666666666666,560.0295384724935,560.0,520.0,773.3333333333334,573.3333333333334,733.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,128,935,705.3030166625977,704.0,672,960,720.0,912.0,779.1666666666666,587.752513885498,586.6666666666666,560.0,800.0,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,256,987,757.2647399902344,752.0,704,1040,768.0,976.0,822.5,631.0539499918619,626.6666666666666,586.6666666666666,866.6666666666666,640.0,813.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,512,1088,857.9009017944336,848.0,816,2032,928.0,1072.0,906.6666666666666,714.917418162028,706.6666666666666,680.0,1693.3333333333333,773.3333333333334,893.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,768,1181,951.8782272338867,944.0,896,1216,992.0,1152.0,984.1666666666666,793.2318560282389,786.6666666666666,746.6666666666666,1013.3333333333334,826.6666666666666,960.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1024,1262,1032.3162384033203,1024.0,992,1280,1056.0,1232.0,1051.6666666666667,860.263532002767,853.3333333333334,826.6666666666666,1066.6666666666667,880.0,1026.6666666666667,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1280,1358,1127.4006271362305,1120.0,1072,1392,1152.0,1344.0,1131.6666666666667,939.5005226135254,933.3333333333334,893.3333333333334,1160.0,960.0,1120.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,1520,1437,1206.952522277832,1200.0,1168,1456,1248.0,1408.0,1197.5,1005.79376856486,1000.0,973.3333333333334,1213.3333333333333,1040.0,1173.3333333333333,0,2097152
