#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0  8192   64    969.0  739.1   736   720  1216   752   960      807.5   615.9     613     600    1013     626       800            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 65536   64    969.0  739.3   736   720  1936   752   976      807.5   616.1     613     600    1613     626       813            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 262144   64    969.0  739.2   736   720  1920   752   992      807.5   616.0     613     600    1600     626       826            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 524288   64    972.0  741.3   736   720  1360   752  1040      810.0   617.8     613     600    1133     626       866            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 1048576   64   1114.0  883.6  1008   720  1584  1040  1264      928.3   736.3     840     600    1320     866      1053            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 1572864.0   64   1161.0  931.0  1008   720  2128  1040  1280      967.5   775.8     840     600    1773     866      1066            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 2097152   64   1184.0  954.6  1024   720  1712  1040  1280      986.7   795.5     853     600    1426     866      1066            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 4194304   64   1220.0  990.1  1024   720  1648  1040  1280     1016.7   825.1     853     600    1373     866      1066            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 8388608   64   1239.0 1008.6  1024   720  1616  1056  1280     1032.5   840.5     853     600    1346     880      1066            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 16777216   64   1247.0 1017.4  1024   720  1936  1056  1280     1039.2   847.8     853     600    1613     880      1066            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 33554432   64   1252.0 1021.9  1024   720  1664  1056  1280     1043.3   851.6     853     600    1386     880      1066            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 67108864   64   1254.0 1023.8  1024   720  1616  1056  1280     1045.0   853.1     853     600    1346     880      1066            0    2097152


  LAT_DMA_RD Rand DThrash  0  0  8192   64    966.0  735.9   736   624  1216   752   960      805.0   613.3     613     520    1013     626       800            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 65536   64   1022.0  792.2   736   624  1632  1024  1232      851.7   660.2     613     520    1360     853      1026            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 262144   64   1175.0  945.4  1024   624  1664  1040  1280      979.2   787.8     853     520    1386     866      1066            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 524288   64   1210.0  980.1  1024   624  1600  1040  1280     1008.3   816.8     853     520    1333     866      1066            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 1048576   64   1230.0 1000.3  1024   624  1616  1040  1280     1025.0   833.6     853     520    1346     866      1066            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 1572864.0   64   1237.0 1006.5  1024   624  1648  1056  1280     1030.8   838.7     853     520    1373     880      1066            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 2097152   64   1239.0 1008.9  1024   624  1648  1056  1280     1032.5   840.7     853     520    1373     880      1066            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 4194304   64   1243.0 1012.5  1024   624  1632  1056  1280     1035.8   843.8     853     520    1360     880      1066            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 8388608   64   1246.0 1016.6  1024   624  1632  1056  1280     1038.3   847.1     853     520    1360     880      1066            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 16777216   64   1252.0 1022.4  1024   624  1600  1056  1280     1043.3   852.0     853     520    1333     880      1066            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 33554432   64   1253.0 1022.6  1024   640  1648  1056  1280     1044.2   852.2     853     533    1373     880      1066            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 67108864   64   1253.0 1022.6  1024   640  1600  1056  1280     1044.2   852.2     853     533    1333     880      1066            0    2097152


  LAT_DMA_RD Rand   DWarm  0  0  8192   64    884.0  654.1   656   624  1120   720   864      736.7   545.1     546     520     933     600       720            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 65536   64    881.0  650.9   656   624  1120   656   864      734.2   542.4     546     520     933     546       720            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 262144   64    894.0  664.0   656   624  1232   736   912      745.0   553.3     546     520    1026     613       760            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 524288   64    895.0  665.7   656   624  1280   736  1024      745.8   554.7     546     520    1066     613       853            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 1048576   64   1055.0  824.9   928   624  1584  1024  1216      879.2   687.4     773     520    1320     853      1013            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 1572864.0   64   1121.0  891.0   928   624  1584  1024  1248      934.2   742.5     773     520    1320     853      1040            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 2097152   64   1153.0  923.5   944   624  1600  1040  1248      960.8   769.6     786     520    1333     866      1040            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 4194304   64   1205.0  974.8  1024   624  1936  1040  1280     1004.2   812.3     853     520    1613     866      1066            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 8388608   64   1231.0 1000.5  1024   624  1600  1040  1280     1025.8   833.8     853     520    1333     866      1066            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 16777216   64   1244.0 1013.3  1024   640  1648  1056  1280     1036.7   844.4     853     533    1373     880      1066            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 33554432   64   1250.0 1019.7  1024   640  1600  1056  1280     1041.7   849.8     853     533    1333     880      1066            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 67108864   64   1253.0 1022.6  1024   640  1616  1056  1280     1044.2   852.2     853     533    1346     880      1066            0    2097152


  LAT_DMA_RD Rand   HWarm  0  0  8192   64    901.0  671.1   672   624   960   688   880      750.8   559.2     560     520     800     573       733            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 65536   64    901.0  670.5   672   624  1168   688   880      750.8   558.8     560     520     973     573       733            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 262144   64   1114.0  883.8   960   624  1440   976  1184      928.3   736.5     800     520    1200     813       986            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 524288   64   1134.0  903.7   960   624  1440   976  1184      945.0   753.1     800     520    1200     813       986            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 1048576   64   1148.0  917.6   960   624  1456   976  1184      956.7   764.7     800     520    1213     813       986            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 1572864.0   64   1095.0  864.9   944   624  2032   976  1184      912.5   720.7     786     520    1693     813       986            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 2097152   64   1119.0  888.9   960   624  1440   976  1184      932.5   740.7     800     520    1200     813       986            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 4194304   64   1154.0  923.7   960   624  1440   976  1184      961.7   769.8     800     520    1200     813       986            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 8388608   64   1171.0  941.5   960   624  1856   976  1184      975.8   784.6     800     520    1546     813       986            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 16777216   64   1189.0  959.8   960   624  1856  1024  1216      990.8   799.8     800     520    1546     853      1013            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 33554432   64   1223.0  992.4  1008   640  1600  1040  1280     1019.2   827.0     840     533    1333     866      1066            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 67108864   64   1239.0 1009.0  1024   640  1936  1040  1280     1032.5   840.8     853     533    1613     866      1066            0    2097152
