#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_DMA_WRRD Rand    Cold  0  0  8192   64   1172.0  943.0   944   928  2224   960  1136      976.7   785.8     786     773    1853     800       946            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 65536   64   1172.0  943.0   944   928  2048   960  1136      976.7   785.8     786     773    1706     800       946            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 262144   64   1172.0  943.0   944   928  2096   960  1136      976.7   785.8     786     773    1746     800       946            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 524288   64   1173.0  944.2   944   928  2096   960  1152      977.5   786.8     786     773    1746     800       960            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 1048576   64   1260.0 1031.2  1088   928  2032  1136  1344     1050.0   859.4     906     773    1693     946      1120            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 1572864.0   64   1292.0 1063.0  1104   928  2048  1136  1344     1076.7   885.8     920     773    1706     946      1120            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 2097152   64   1308.0 1078.9  1120   928  1616  1136  1360     1090.0   899.1     933     773    1346     946      1133            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 4194304   64   1333.0 1103.9  1120   928  1616  1136  1360     1110.8   919.9     933     773    1346     946      1133            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 8388608   64   1346.0 1116.6  1120   928  2032  1136  1360     1121.7   930.5     933     773    1693     946      1133            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 16777216   64   1352.0 1122.9  1120   928  1616  1136  1360     1126.7   935.7     933     773    1346     946      1133            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 33554432   64   1355.0 1126.2  1120   928  1632  1136  1360     1129.2   938.5     933     773    1360     946      1133            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 67108864   64   1357.0 1127.6  1120   928  1616  1136  1360     1130.8   939.7     933     773    1346     946      1133            0    2097152


LAT_DMA_WRRD Rand DThrash  0  0  8192   64   1171.0  943.3   944   928  1200   960  1136      975.8   786.1     786     773    1000     800       946            0    2097152
LAT_DMA_WRRD Rand DThrash  0  0 65536   64   1219.0  991.0   944   928  1600  1120  1312     1015.8   825.9     786     773    1333     933      1093            0    2097152
