Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,Cold,0,0,4096,512,739944672,616620560.0,4294967296,8388608,55.722660898624596,13604165.25845327
BW_DMA_RD,Rand,Cold,0,0,16384,512,739942784,616618986.6666666,4294967296,8388608,55.722803077703915,13604199.970142558
BW_DMA_RD,Rand,Cold,0,0,262144,512,739948160,616623466.6666666,4294967296,8388608,55.72239823070849,13604101.130544065
BW_DMA_RD,Rand,Cold,0,0,524288,512,739948608,616623840.0,4294967296,8388608,55.722364493724406,13604092.893975684
BW_DMA_RD,Rand,Cold,0,0,1048576,512,739949904,616624920.0,4294967296,8388608,55.72226689767906,13604069.066816177
BW_DMA_RD,Rand,Cold,0,0,1572864.0,512,739951456,616626213.3333334,4294967296,8388608,55.72215002385237,13604040.533167083
BW_DMA_RD,Rand,Cold,0,0,2097152,512,739950784,616625653.3333334,4294967296,8388608,55.72220062895426,13604052.887928285
BW_DMA_RD,Rand,Cold,0,0,3145728,512,739950096,616625080.0,4294967296,8388608,55.722252439034754,13604065.536873719
BW_DMA_RD,Rand,Cold,0,0,4194304,512,739946816,616622346.6666666,4294967296,8388608,55.72249944190584,13604125.840309042
BW_DMA_RD,Rand,Cold,0,0,8388608,512,739940400,616617000.0,4294967296,8388608,55.72298260995075,13604243.801257508
BW_DMA_RD,Rand,Cold,0,0,16777216,512,739950592,616625493.3333334,4294967296,8388608,55.72221508757168,13604056.41786418
BW_DMA_RD,Rand,Cold,0,0,33554432,512,739945968,616621640.0,4294967296,8388608,55.72256330154096,13604141.431040274
BW_DMA_RD,Rand,Cold,0,0,67108864,512,739943760,616619800.0,4294967296,8388608,55.72272957825876,13604182.025942078
BW_DMA_RD,Rand,DThrash,0,0,4096,512,739945024,616620853.3333334,4294967296,8388608,55.72263439074089,13604158.786801977
BW_DMA_RD,Rand,DThrash,0,0,16384,512,739945440,616621200.0,4294967296,8388608,55.722603063274505,13604151.138494752
BW_DMA_RD,Rand,DThrash,0,0,262144,512,739947856,616623213.3333334,4294967296,8388608,55.72242112368523,13604106.719649715
BW_DMA_RD,Rand,DThrash,0,0,524288,512,739952496,616627080.0,4294967296,8388608,55.72207170661399,13604021.412747556
BW_DMA_RD,Rand,DThrash,0,0,1048576,512,739948112,616623426.6666666,4294967296,8388608,55.72240184538778,13604102.013034126
