Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Seq,HWarm,0,0,4096,4,731,502.1665267944336,496.0,464,752,512.0,704.0,609.1666666666666,418.472105662028,413.3333333333333,386.6666666666667,626.6666666666666,426.6666666666667,586.6666666666666,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,8,732,502.80181884765625,496.0,464,752,512.0,704.0,610.0,419.0015157063802,413.3333333333333,386.6666666666667,626.6666666666666,426.6666666666667,586.6666666666666,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,16,735,506.5266418457031,512.0,464,752,512.0,704.0,612.5,422.10553487141925,426.6666666666667,386.6666666666667,626.6666666666666,426.6666666666667,586.6666666666666,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,24,739,511.02811431884766,512.0,464,768,528.0,704.0,615.8333333333334,425.85676193237305,426.6666666666667,386.6666666666667,640.0,440.0,586.6666666666666,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,32,743,513.3688430786133,512.0,480,752,528.0,704.0,619.1666666666666,427.80736923217773,426.6666666666667,400.0,626.6666666666666,440.0,586.6666666666666,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,48,750,521.2400741577148,528.0,480,768,528.0,720.0,625.0,434.3667284647624,440.0,400.0,640.0,440.0,600.0,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,64,752,523.4032440185547,528.0,480,768,544.0,720.0,626.6666666666666,436.1693700154622,440.0,400.0,640.0,453.3333333333333,600.0,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,4,883,633.4259262084961,624.0,608,896,640.0,848.0,735.8333333333334,527.8549385070801,520.0,506.6666666666667,746.6666666666666,533.3333333333334,706.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,8,892,636.9253540039062,640.0,608,896,640.0,848.0,743.3333333333334,530.7711283365885,533.3333333333334,506.6666666666667,746.6666666666666,533.3333333333334,706.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,16,904,640.4462203979492,640.0,608,896,656.0,848.0,753.3333333333334,533.7051836649576,533.3333333333334,506.6666666666667,746.6666666666666,546.6666666666666,706.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,24,922,647.7890396118164,640.0,624,912,656.0,864.0,768.3333333333334,539.8241996765137,533.3333333333334,520.0,760.0,546.6666666666666,720.0,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,32,936,651.6462326049805,656.0,624,912,656.0,864.0,780.0,543.038527170817,546.6666666666666,520.0,760.0,546.6666666666666,720.0,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,48,972,666.9480819702148,672.0,640,944,672.0,880.0,810.0,555.7900683085123,560.0,533.3333333333334,786.6666666666666,560.0,733.3333333333334,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,64,980,656.0309600830078,656.0,624,912,672.0,864.0,816.6666666666666,546.6924667358398,546.6666666666666,520.0,760.0,560.0,720.0,0,2097152
