Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_WRRD,Rand,Cold,0,0,1024,8,892,637.0647277832031,640.0,608,912,640.0,848.0,743.3333333333334,530.8872731526693,533.3333333333334,506.6666666666667,760.0,533.3333333333334,706.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,4096,8,892,637.0018463134766,640.0,608,880,640.0,848.0,743.3333333333334,530.8348719278971,533.3333333333334,506.6666666666667,733.3333333333334,533.3333333333334,706.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,16384,8,892,636.983268737793,640.0,608,928,640.0,848.0,743.3333333333334,530.8193906148275,533.3333333333334,506.6666666666667,773.3333333333334,533.3333333333334,706.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,262144,8,902,647.7078170776367,640.0,608,1200,720.0,896.0,751.6666666666666,539.7565142313639,533.3333333333334,506.6666666666667,1000.0,600.0,746.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,524288,8,903,648.7486953735352,640.0,608,1168,720.0,896.0,752.5,540.6239128112793,533.3333333333334,506.6666666666667,973.3333333333334,600.0,746.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,1048576,8,918,663.1195983886719,640.0,608,1200,720.0,928.0,765.0,552.5996653238932,533.3333333333334,506.6666666666667,1000.0,600.0,773.3333333333334,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,1572864.0,8,936,680.845344543457,704.0,608,1216,736.0,944.0,780.0,567.3711204528809,586.6666666666666,506.6666666666667,1013.3333333333334,613.3333333333334,786.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,2097152,8,945,690.1239166259766,720.0,608,1200,736.0,944.0,787.5,575.1032638549805,600.0,506.6666666666667,1000.0,613.3333333333334,786.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,3145728,8,955,700.6016998291016,720.0,608,1216,736.0,944.0,795.8333333333334,583.8347498575846,600.0,506.6666666666667,1013.3333333333334,613.3333333333334,786.6666666666666,0,2097152
LAT_CMD_WRRD,Rand,Cold,0,0,4194304,8,961,706.1691207885742,720.0,608,1184,736.0,960.0,800.8333333333334,588.4742673238119,600.0,506.6666666666667,986.6666666666666,613.3333333333334,800.0,0,2097152
