#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0  1024    8    892.0  637.1   640   608   912   640   848      743.3   530.9     533     506     760     533       706            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  4096    8    892.0  637.0   640   608   880   640   848      743.3   530.8     533     506     733     533       706            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16384    8    892.0  637.0   640   608   928   640   848      743.3   530.8     533     506     773     533       706            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 262144    8    902.0  647.7   640   608  1200   720   896      751.7   539.8     533     506    1000     600       746            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 524288    8    903.0  648.7   640   608  1168   720   896      752.5   540.6     533     506     973     600       746            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1048576    8    918.0  663.1   640   608  1200   720   928      765.0   552.6     533     506    1000     600       773            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1572864.0    8    936.0  680.8   704   608  1216   736   944      780.0   567.4     586     506    1013     613       786            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 2097152    8    945.0  690.1   720   608  1200   736   944      787.5   575.1     600     506    1000     613       786            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 3145728    8    955.0  700.6   720   608  1216   736   944      795.8   583.8     600     506    1013     613       786            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 4194304    8    961.0  706.2   720   608  1184   736   960      800.8   588.5     600     506     986     613       800            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 8388608    8   1050.0  712.1   720   608  1216   736   944      875.0   593.4     600     506    1013     613       786            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16777216    8   1096.0  715.2   720   608  1200   736   960      913.3   596.0     600     506    1000     613       800            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 33554432    8   1119.0  716.7   720   608  1184   736   976      932.5   597.3     600     506     986     613       813            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 67108864    8   1131.0  717.6   720   608  1200   720   976      942.5   598.0     600     506    1000     600       813            0    2097152


LAT_CMD_WRRD Rand DThrash  0  0  1024    8    892.0  637.0   640   608   896   640   848      743.3   530.9     533     506     746     533       706            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  4096    8    892.0  637.0   640   608   896   640   848      743.3   530.8     533     506     746     533       706            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 16384    8    892.0  637.0   640   608   896   640   848      743.3   530.8     533     506     746     533       706            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 262144    8    904.0  648.9   640   608  1104   720   896      753.3   540.8     533     506     920     600       746            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 524288    8    904.0  649.7   640   608  1136   720   896      753.3   541.4     533     506     946     600       746            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 1048576    8    918.0  663.3   640   608  1168   720   928      765.0   552.7     533     506     973     600       773            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 1572864.0    8    936.0  681.0   704   608  1216   736   944      780.0   567.5     586     506    1013     613       786            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 2097152    8    945.0  690.2   720   608  1200   736   944      787.5   575.2     600     506    1000     613       786            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 3145728    8    956.0  700.9   720   608  1216   736   944      796.7   584.1     600     506    1013     613       786            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 4194304    8    961.0  706.5   720   608  1200   736   960      800.8   588.7     600     506    1000     613       800            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 8388608    8   1051.0  712.3   720   608  1200   736   960      875.8   593.6     600     506    1000     613       800            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 16777216    8   1096.0  715.2   720   608  1168   736   960      913.3   596.0     600     506     973     613       800            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 33554432    8   1119.0  716.7   720   608  1184   736   960      932.5   597.3     600     506     986     613       800            0    2097152
