        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0   8KB   64    970.0  738.2   736   704  1232   752   960      808.3   615.2     613     586    1026     626       800            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB   64    903.0  670.8   672   624   928   688   864      752.5   559.0     560     520     773     573       720            0   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB   64    971.0  738.1   736   704  1216   752   960      809.2   615.1     613     586    1013     626       800            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB   64    955.0  722.9   736   624  1248   752   960      795.8   602.4     613     520    1040     626       800            0   16777216
  LAT_DMA_RD Rand    Cold  0  0   8KB 2048   1679.0 1446.5  1424  1392  2016  1584  1760     1399.2  1205.5    1186    1160    1680    1320      1466            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB 2048   1601.0 1368.2  1360  1328  1648  1408  1568     1334.2  1140.2    1133    1106    1373    1173      1306            0   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB 2048   1678.0 1446.3  1424  1392  1920  1584  1712     1398.3  1205.3    1186    1160    1600    1320      1426            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB 2048   1662.0 1430.2  1424  1328  1936  1568  1712     1385.0  1191.8    1186    1106    1613    1306      1426            0   16777216

LAT_DMA_WRRD Rand    Cold  0  0   8KB   64   1172.0  942.2   944   928  1264   960  1136      976.7   785.2     786     773    1053     800       946            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB   64   1172.0  941.9   944   928  1216   944  1136      976.7   785.0     786     773    1013     786       946            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB   64   1172.0  942.0   944   928  1200   944  1136      976.7   785.0     786     773    1000     786       946            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB   64   1172.0  942.0   944   928  1216   944  1136      976.7   785.0     786     773    1013     786       946            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0   8KB 2048   2469.0 2238.1  2224  2192  2528  2368  2448     2057.5  1865.1    1853    1826    2106    1973      2040            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB 2048   2469.0 2238.1  2224  2192  2528  2368  2448     2057.5  1865.1    1853    1826    2106    1973      2040            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB 2048   2476.0 2245.0  2224  2192  2560  2384  2464     2063.3  1870.9    1853    1826    2133    1986      2053            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB 2048   2475.0 2243.8  2224  2192  2576  2384  2464     2062.5  1869.9    1853    1826    2146    1986      2053            0   16777216
