Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,898,668.2179336547852,672.0,624,928,688.0,864.0,748.3333333333334,556.8482780456543,560.0,520.0,773.3333333333334,573.3333333333334,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,1,0,8192,64,912,681.9656143188477,688.0,640,928,704.0,880.0,760.0,568.3046785990397,573.3333333333334,533.3333333333334,773.3333333333334,586.6666666666666,733.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,2,0,8192,64,918,688.4199523925781,688.0,640,944,704.0,896.0,765.0,573.6832936604818,573.3333333333334,533.3333333333334,786.6666666666666,586.6666666666666,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,3,0,8192,64,919,688.7690887451172,688.0,640,944,704.0,896.0,765.8333333333334,573.974240620931,573.3333333333334,533.3333333333334,786.6666666666666,586.6666666666666,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,4,0,8192,64,917,687.6463165283203,688.0,640,944,704.0,880.0,764.1666666666666,573.0385971069336,573.3333333333334,533.3333333333334,786.6666666666666,586.6666666666666,733.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,6,0,8192,64,919,689.0924453735352,688.0,656,960,704.0,896.0,765.8333333333334,574.2437044779459,573.3333333333334,546.6666666666666,800.0,586.6666666666666,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,8,0,8192,64,915,684.7966003417969,688.0,640,928,704.0,880.0,762.5,570.6638336181641,573.3333333333334,533.3333333333334,773.3333333333334,586.6666666666666,733.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,12,0,8192,64,915,685.0784225463867,688.0,640,928,704.0,896.0,762.5,570.8986854553223,573.3333333333334,533.3333333333334,773.3333333333334,586.6666666666666,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,16,0,8192,64,914,684.3255615234375,688.0,640,944,704.0,896.0,761.6666666666666,570.2713012695312,573.3333333333334,533.3333333333334,786.6666666666666,586.6666666666666,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,20,0,8192,64,915,685.1870269775391,688.0,640,944,704.0,896.0,762.5,570.9891891479492,573.3333333333334,533.3333333333334,786.6666666666666,586.6666666666666,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,25,0,8192,64,915,684.3626937866211,688.0,640,944,704.0,896.0,762.5,570.3022448221842,573.3333333333334,533.3333333333334,786.6666666666666,586.6666666666666,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,32,0,8192,64,913,682.6613082885742,688.0,640,944,688.0,896.0,760.8333333333334,568.8844235738119,573.3333333333334,533.3333333333334,786.6666666666666,573.3333333333334,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,41,0,8192,64,921,691.1299057006836,688.0,656,944,704.0,896.0,767.5,575.941588083903,573.3333333333334,546.6666666666666,786.6666666666666,586.6666666666666,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,48,0,8192,64,917,686.6606063842773,688.0,640,944,704.0,896.0,764.1666666666666,572.2171719868978,573.3333333333334,533.3333333333334,786.6666666666666,586.6666666666666,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,63,0,8192,64,924,693.6420822143555,688.0,656,976,704.0,896.0,770.0,578.0350685119629,573.3333333333334,546.6666666666666,813.3333333333334,586.6666666666666,746.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,899,669.9646072387695,672.0,624,928,688.0,864.0,749.1666666666666,558.3038393656412,560.0,520.0,773.3333333333334,573.3333333333334,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,1,8192,64,939,709.5049285888672,704.0,672,960,720.0,912.0,782.5,591.2541071573893,586.6666666666666,560.0,800.0,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,2,8192,64,939,709.4329681396484,704.0,672,976,720.0,912.0,782.5,591.1941401163737,586.6666666666666,560.0,813.3333333333334,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,3,8192,64,939,709.369499206543,704.0,672,976,720.0,912.0,782.5,591.1412493387858,586.6666666666666,560.0,813.3333333333334,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,4,8192,64,939,708.9887313842773,704.0,672,960,720.0,912.0,782.5,590.8239428202311,586.6666666666666,560.0,800.0,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,6,8192,64,939,708.997802734375,704.0,672,976,720.0,912.0,782.5,590.8315022786459,586.6666666666666,560.0,813.3333333333334,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,8,8192,64,898,668.1410980224609,672.0,624,944,688.0,864.0,748.3333333333334,556.7842483520508,560.0,520.0,786.6666666666666,573.3333333333334,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,12,8192,64,939,709.0242004394531,704.0,672,960,720.0,912.0,782.5,590.8535003662109,586.6666666666666,560.0,800.0,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,16,8192,64,899,669.4140930175781,672.0,624,912,688.0,864.0,749.1666666666666,557.8450775146484,560.0,520.0,760.0,573.3333333333334,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,20,8192,64,938,708.7986145019531,704.0,672,976,720.0,912.0,781.6666666666666,590.6655120849609,586.6666666666666,560.0,813.3333333333334,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,25,8192,64,938,708.7964324951172,704.0,672,960,720.0,912.0,781.6666666666666,590.663693745931,586.6666666666666,560.0,800.0,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,32,8192,64,899,669.418098449707,672.0,624,928,688.0,864.0,749.1666666666666,557.8484153747559,560.0,520.0,773.3333333333334,573.3333333333334,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,41,8192,64,939,709.239013671875,704.0,672,960,720.0,912.0,782.5,591.0325113932291,586.6666666666666,560.0,800.0,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,48,8192,64,899,669.2367477416992,672.0,624,928,688.0,864.0,749.1666666666666,557.6972897847494,560.0,520.0,773.3333333333334,573.3333333333334,720.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,63,8192,64,939,708.9931716918945,704.0,672,960,720.0,912.0,782.5,590.8276430765787,586.6666666666666,560.0,800.0,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,128,933,703.0894088745117,704.0,656,960,720.0,912.0,777.5,585.9078407287598,586.6666666666666,546.6666666666666,800.0,600.0,760.0,0,2097152
LAT_DMA_RD,Seq,HWarm,1,0,8192,128,952,722.3173446655273,720.0,672,1008,768.0,928.0,793.3333333333334,601.9311205546061,600.0,560.0,840.0,640.0,773.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,2,0,8192,128,952,722.5313873291016,720.0,672,1008,768.0,928.0,793.3333333333334,602.109489440918,600.0,560.0,840.0,640.0,773.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,3,0,8192,128,952,722.4936676025391,720.0,672,1024,768.0,928.0,793.3333333333334,602.0780563354492,600.0,560.0,853.3333333333334,640.0,773.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,4,0,8192,128,952,721.9416427612305,720.0,672,1008,768.0,928.0,793.3333333333334,601.6180356343588,600.0,560.0,840.0,640.0,773.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,6,0,8192,128,952,722.1848297119141,720.0,672,1008,768.0,928.0,793.3333333333334,601.8206914265951,600.0,560.0,840.0,640.0,773.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,8,0,8192,128,947,717.2804870605469,704.0,672,1008,768.0,928.0,789.1666666666666,597.7337392171224,586.6666666666666,560.0,840.0,640.0,773.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,12,0,8192,128,950,720.0217361450195,720.0,672,1024,768.0,928.0,791.6666666666666,600.018113454183,600.0,560.0,853.3333333333334,640.0,773.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,16,0,8192,128,951,721.6818161010742,720.0,688,1008,768.0,944.0,792.5,601.4015134175619,600.0,573.3333333333334,840.0,640.0,786.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,20,0,8192,128,957,726.8230590820312,720.0,688,1024,784.0,944.0,797.5,605.6858825683594,600.0,573.3333333333334,853.3333333333334,653.3333333333334,786.6666666666666,0,2097152
