#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_DMA_WRRD  Seq   HWarm  0  0  8192   64   1170.0  942.1   944   928  1184   960  1136      975.0   785.1     786     773     986     800       946            0    2097152
LAT_DMA_WRRD  Seq   HWarm  1  0  8192   64   1192.0  963.8   960   928  1232   976  1168      993.3   803.2     800     773    1026     813       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm  2  0  8192   64   1192.0  963.8   960   928  1216   976  1168      993.3   803.2     800     773    1013     813       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm  3  0  8192   64   1192.0  963.8   960   928  1216   976  1168      993.3   803.2     800     773    1013     813       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm  4  0  8192   64   1190.0  961.4   960   928  1216   976  1168      991.7   801.2     800     773    1013     813       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm  6  0  8192   64   1192.0  963.4   960   928  1232   976  1168      993.3   802.9     800     773    1026     813       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm  8  0  8192   64   1185.0  957.6   960   928  1216   976  1168      987.5   798.0     800     773    1013     813       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm 12  0  8192   64   1185.0  958.0   960   928  1232   976  1168      987.5   798.3     800     773    1026     813       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm 16  0  8192   64   1184.0  956.9   960   928  1216   960  1168      986.7   797.4     800     773    1013     800       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm 20  0  8192   64   1185.0  958.0   960   944  1216   976  1168      987.5   798.4     800     786    1013     813       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm 25  0  8192   64   1184.0  956.9   960   928  1200   960  1168      986.7   797.5     800     773    1000     800       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm 32  0  8192   64   1182.0  955.2   960   928  1216   960  1168      985.0   796.0     800     773    1013     800       973            0    2097152
LAT_DMA_WRRD  Seq   HWarm 41  0  8192   64   1194.0  965.9   960   944  1248   976  1184      995.0   804.9     800     786    1040     813       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm 48  0  8192   64   1188.0  960.0   960   944  1216   976  1184      990.0   800.0     800     786    1013     813       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm 63  0  8192   64   1196.0  967.7   960   944  1232   976  1184      996.7   806.4     800     786    1026     813       986            0    2097152


LAT_DMA_WRRD  Seq   HWarm  0  0  8192   64   1170.0  942.1   944   928  1216   960  1136      975.0   785.1     786     773    1013     800       946            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  1  8192   64   1210.0  981.8   976   960  1232   992  1184     1008.3   818.2     813     800    1026     826       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  2  8192   64   1210.0  982.2   976   960  1248   992  1184     1008.3   818.5     813     800    1040     826       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  3  8192   64   1211.0  982.2   976   960  1248   992  1184     1009.2   818.5     813     800    1040     826       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  4  8192   64   1210.0  982.2   976   960  1232   992  1184     1008.3   818.5     813     800    1026     826       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  6  8192   64   1210.0  982.1   976   960  1248   992  1184     1008.3   818.5     813     800    1040     826       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  8  8192   64   1170.0  942.5   944   928  1200   960  1136      975.0   785.4     786     773    1000     800       946            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 12  8192   64   1210.0  982.2   976   960  1248   992  1184     1008.3   818.5     813     800    1040     826       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 16  8192   64   1170.0  942.5   944   928  1200   960  1136      975.0   785.4     786     773    1000     800       946            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 20  8192   64   1210.0  982.2   976   960  1248   992  1184     1008.3   818.5     813     800    1040     826       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 25  8192   64   1210.0  982.1   976   960  1232   992  1184     1008.3   818.5     813     800    1026     826       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 32  8192   64   1170.0  942.1   944   928  1184   960  1136      975.0   785.1     786     773     986     800       946            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 41  8192   64   1210.0  981.8   976   960  1232   992  1184     1008.3   818.1     813     800    1026     826       986            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 48  8192   64   1170.0  942.1   944   928  1200   960  1136      975.0   785.1     786     773    1000     800       946            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 63  8192   64   1210.0  982.1   976   960  1232   992  1184     1008.3   818.5     813     800    1026     826       986            0    2097152


LAT_DMA_WRRD  Seq   HWarm  0  0  8192  128   1221.0  991.9   992   960  1264  1008  1200     1017.5   826.6     826     800    1053     840      1000            0    2097152
LAT_DMA_WRRD  Seq   HWarm  1  0  8192  128   1240.0 1010.8  1008   976  1312  1056  1216     1033.3   842.3     840     813    1093     880      1013            0    2097152
LAT_DMA_WRRD  Seq   HWarm  2  0  8192  128   1240.0 1011.3  1008   976  1312  1056  1216     1033.3   842.7     840     813    1093     880      1013            0    2097152
LAT_DMA_WRRD  Seq   HWarm  3  0  8192  128   1240.0 1011.3  1008   976  1312  1056  1216     1033.3   842.7     840     813    1093     880      1013            0    2097152
LAT_DMA_WRRD  Seq   HWarm  4  0  8192  128   1240.0 1010.4  1008   976  1312  1056  1216     1033.3   842.0     840     813    1093     880      1013            0    2097152
